SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000JUYT,14.78,1.37,1.08,8.01,2.22,8.36,-7.95,-5.64,-1.73,3.82,50,0,31,52.87,44.17,61.57,17.93 Bil,21.5,39.16,38.02,1.07,0,74.25,44.48,82.05,33.56,24.96,61.7,42.57,5.93,78.31,83.3,32.78,90.03,47.88,23.57,68.8,19.52,17.71,57.3,37,35.82,44.38
F00000JUYU,14.78,1.37,1.08,8.01,2.22,8.36,-7.95,-5.64,-1.73,3.82,50,0,31,52.87,44.17,61.57,17.93 Bil,21.5,39.16,38.02,1.07,0,74.25,44.48,82.05,33.56,24.96,61.7,42.57,5.93,78.31,83.3,32.78,90.03,47.88,23.57,68.8,19.52,17.71,57.3,37,35.82,44.38
F0GBR052U8,16.02,1.6,1.28,8.33,1.85,8.43,-8.65,-5.68,1.24,3.79,56,0,27,58.97,44.8,68.78,16.29 Bil,21,35.35,43.4,0,0,70.09,43.38,85.4,47.54,24.95,60.52,39.24,14.35,77.5,84.31,35.46,92.15,36.03,15.55,55.73,15.08,14.18,63.81,34.9,32.53,55.21
0P0000LYIV,16.02,1.6,1.28,8.33,1.85,8.43,-8.65,-5.68,1.24,3.79,56,0,27,58.97,44.8,68.78,16.29 Bil,21,35.35,43.4,0,0,70.09,43.38,85.4,47.54,24.95,60.52,39.24,14.35,77.5,84.31,35.46,92.15,36.03,15.55,55.73,15.08,14.18,63.81,34.9,32.53,55.21
0P00001A0M,16.02,1.6,1.28,8.33,1.85,8.43,-8.65,-5.68,1.24,3.79,56,0,27,58.97,44.8,68.78,16.29 Bil,21,35.35,43.4,0,0,70.09,43.38,85.4,47.54,24.95,60.52,39.24,14.35,77.5,84.31,35.46,92.15,36.03,15.55,55.73,15.08,14.18,63.81,34.9,32.53,55.21
F00000OV1C,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89,51,1,45,140.42,62.23,82.51,9.38 Bil,0.76,55.29,30.61,12.25,0.05,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F0GBR06MIL,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89,51,1,45,140.42,62.23,82.51,9.38 Bil,0.76,55.29,30.61,12.25,0.05,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F00000OTNG,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89,51,1,45,140.42,62.23,82.51,9.38 Bil,0.76,55.29,30.61,12.25,0.05,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F00000PC3G,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89,51,1,45,140.42,62.23,82.51,9.38 Bil,0.76,55.29,30.61,12.25,0.05,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F0000045M1,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89,51,1,45,140.42,62.23,82.51,9.38 Bil,0.76,55.29,30.61,12.25,0.05,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F0GBR06MIK,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89,51,1,45,140.42,62.23,82.51,9.38 Bil,0.76,55.29,30.61,12.25,0.05,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F00000Q3YK,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98,53,1,45,41.37,60.97,82.71,2.37 Bil,0.02,7.57,45.22,41.46,0.82,73.19,11.16,73.19,88.25,67.16,97.38,8.36,3.07,95.9,76.46,12.79,86.96,11.35,1,24.91,76.15,16.19,92.52,11.63,7.15,16.3
F00000QHCO,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98,53,1,45,41.37,60.97,82.71,2.37 Bil,0.02,7.57,45.22,41.46,0.82,73.19,11.16,73.19,88.25,67.16,97.38,8.36,3.07,95.9,76.46,12.79,86.96,11.35,1,24.91,76.15,16.19,92.52,11.63,7.15,16.3
F000000RDD,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98,53,1,45,41.37,60.97,82.71,2.37 Bil,0.02,7.57,45.22,41.46,0.82,73.19,11.16,73.19,88.25,67.16,97.38,8.36,3.07,95.9,76.46,12.79,86.96,11.35,1,24.91,76.15,16.19,92.52,11.63,7.15,16.3
F00000M89N,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99,59,1,30,123.24,58.56,78.69,7.68 Bil,0.62,37.75,24.01,12.89,0.06,67.99,15.47,68.1,63.8,41.7,92.12,79.78,4.61,87.92,86.11,20.61,89.77,10.09,7.43,41.08,19.08,9.26,46.75,29.12,26.52,36.89
F0GBR04S4D,35.07,6.25,3.68,24.35,0.89,12.54,-1.64,2.45,12.49,9.14,51,49,40,120,69.31,87.64,25.69 Bil,29.26,44.73,21.7,1.49,0,3.71,2.16,7.47,93.21,84.54,98.38,22.62,6.77,84.19,10.58,3.45,14.23,37.68,18.04,81.84,79.49,36.67,86.91,52.5,42.49,54.53
