SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000JUYT,14.78,1.37,1.08,8.01,2.22,8.36,-7.95,-5.64,-1.73,3.82
F00000JUYU,14.78,1.37,1.08,8.01,2.22,8.36,-7.95,-5.64,-1.73,3.82
F0GBR052U8,16.02,1.6,1.28,8.33,1.85,8.43,-8.65,-5.68,1.24,3.79
0P0000LYIV,16.02,1.6,1.28,8.33,1.85,8.43,-8.65,-5.68,1.24,3.79
0P00001A0M,16.02,1.6,1.28,8.33,1.85,8.43,-8.65,-5.68,1.24,3.79
F00000OV1C,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F0GBR06MIL,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000OTNG,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000PC3G,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F0000045M1,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F0GBR06MIK,13.57,1.16,0.71,7.4,1.16,10.12,-19.41,-3.01,1.18,1.89
F00000Q3YK,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98
F00000QHCO,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98
F000000RDD,14.67,1.18,1.08,9.13,1.02,9.73,-12.26,-0.35,-2.05,0.98
F00000M89N,14.14,1.17,0.76,7.92,1.34,10.14,-16.82,-2.72,3.8,1.99
F0GBR04S4D,35.07,6.25,3.68,24.35,0.89,12.54,-1.64,2.45,12.49,9.14
F00000O4Y5,35.07,6.25,3.68,24.35,0.89,12.54,-1.64,2.45,12.49,9.14
F00000WVAJ,35.07,6.25,3.68,24.35,0.89,12.54,-1.64,2.45,12.49,9.14
F000002SDO,15.23,1.71,0.8,9.28,3.07,8.27,-2.93,1.64,2.37,0.48
F00000PLW7,15.23,1.71,0.8,9.28,3.07,8.27,-2.93,1.64,2.37,0.48
F000000F6R,15.31,1.57,1.05,7.94,2.16,11.28,-8.32,-2.53,7.49,-0.6
F000000JV4,15.31,1.57,1.05,7.94,2.16,11.28,-8.32,-2.53,7.49,-0.6
F000010B5W,15.31,1.57,1.05,7.94,2.16,11.28,-8.32,-2.53,7.49,-0.6
F0000139KC,20.31,2.17,1.43,15.78,1.55,12.72,-11.21,-3.01,3.61,0.28
F0000139KE,20.31,2.17,1.43,15.78,1.55,12.72,-11.21,-3.01,3.61,0.28
F0000139KD,20.31,2.17,1.43,15.78,1.55,12.72,-11.21,-3.01,3.61,0.28
F0000139KF,20.31,2.17,1.43,15.78,1.55,12.72,-11.21,-3.01,3.61,0.28
F0000000K1,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F000000JV5,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F0000000K2,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F00000W7F4,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F00000VW7T,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F00000WEDC,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F00000P8AJ,32.11,3.96,2.86,20.42,0.82,13.28,-5.74,-0.3,8.8,8.9
F00000UQKS,15.35,1.65,1.07,8.92,1.92,8.75,-6.75,-3.43,-1.16,-0.13
F00000U3S4,15.35,1.65,1.07,8.92,1.92,8.75,-6.75,-3.43,-1.16,-0.13
F0000000K4,34.53,6.59,3.9,25.18,0.92,11.99,-1.8,0.08,13.1,10.01
F000000JV6,34.53,6.59,3.9,25.18,0.92,11.99,-1.8,0.08,13.1,10.01
F0000000K6,34.53,6.59,3.9,25.18,0.92,11.99,-1.8,0.08,13.1,10.01
F00000O26J,34.53,6.59,3.9,25.18,0.92,11.99,-1.8,0.08,13.1,10.01
F00000QIXJ,34.53,6.59,3.9,25.18,0.92,11.99,-1.8,0.08,13.1,10.01
F00000ZEAH,34.53,6.59,3.9,25.18,0.92,11.99,-1.8,0.08,13.1,10.01
