SecId,company_1,percent_1,company_2,percent_2,company_3,percent_3,company_4,percent_4,company_5,percent_5,company_6,percent_6,company_7,percent_7,company_8,percent_8,company_9,percent_9,company_10,percent_10
F00000JUYT,Sanofi SA,4.26,Enel SpA,4.24,ASM International NV,3.54,EDP - Energias de Portugal SA,3.44,Total SE,2.89,Bank of Ireland Group PLC,2.84,Koninklijke Ahold Delhaize NV,2.7,Stellantis NV,2.59,Pernod Ricard SA,2.56,Smurfit Kappa Group PLC,2.42
F00000JUYU,Sanofi SA,4.26,Enel SpA,4.24,ASM International NV,3.54,EDP - Energias de Portugal SA,3.44,Total SE,2.89,Bank of Ireland Group PLC,2.84,Koninklijke Ahold Delhaize NV,2.7,Stellantis NV,2.59,Pernod Ricard SA,2.56,Smurfit Kappa Group PLC,2.42
F0GBR052U8,Roche Holding AG,3.99,Entain PLC,3.14,Enel SpA,3.09,EDP - Energias de Portugal SA,2.78,Alstom SA,2.4,Royal Dutch Shell PLC B,2.36,ASM International NV,2.3,Koninklijke Ahold Delhaize NV,2.27,Getinge AB Class B,2.26,Hugo Boss AG,2.21
0P0000LYIV,Roche Holding AG,3.99,Entain PLC,3.14,Enel SpA,3.09,EDP - Energias de Portugal SA,2.78,Alstom SA,2.4,Royal Dutch Shell PLC B,2.36,ASM International NV,2.3,Koninklijke Ahold Delhaize NV,2.27,Getinge AB Class B,2.26,Hugo Boss AG,2.21
0P00001A0M,Roche Holding AG,3.99,Entain PLC,3.14,Enel SpA,3.09,EDP - Energias de Portugal SA,2.78,Alstom SA,2.4,Royal Dutch Shell PLC B,2.36,ASM International NV,2.3,Koninklijke Ahold Delhaize NV,2.27,Getinge AB Class B,2.26,Hugo Boss AG,2.21
F00000OV1C,Stellantis NV,5.53,Veolia Environnement SA,5.28,Just Eat Takeaway.com NV,5.16,Carrefour,4.59,Compagnie de Saint-Gobain SA,4.51,Glencore PLC,4.36,ALD SA,3.96,B&M European Value Retail SA,3.96,Atacadao SA,3.78,Volvo AB B,3.41
F0GBR06MIL,Stellantis NV,5.53,Veolia Environnement SA,5.28,Just Eat Takeaway.com NV,5.16,Carrefour,4.59,Compagnie de Saint-Gobain SA,4.51,Glencore PLC,4.36,ALD SA,3.96,B&M European Value Retail SA,3.96,Atacadao SA,3.78,Volvo AB B,3.41
F00000OTNG,Stellantis NV,5.53,Veolia Environnement SA,5.28,Just Eat Takeaway.com NV,5.16,Carrefour,4.59,Compagnie de Saint-Gobain SA,4.51,Glencore PLC,4.36,ALD SA,3.96,B&M European Value Retail SA,3.96,Atacadao SA,3.78,Volvo AB B,3.41
F00000PC3G,Stellantis NV,5.53,Veolia Environnement SA,5.28,Just Eat Takeaway.com NV,5.16,Carrefour,4.59,Compagnie de Saint-Gobain SA,4.51,Glencore PLC,4.36,ALD SA,3.96,B&M European Value Retail SA,3.96,Atacadao SA,3.78,Volvo AB B,3.41
F0000045M1,Stellantis NV,5.53,Veolia Environnement SA,5.28,Just Eat Takeaway.com NV,5.16,Carrefour,4.59,Compagnie de Saint-Gobain SA,4.51,Glencore PLC,4.36,ALD SA,3.96,B&M European Value Retail SA,3.96,Atacadao SA,3.78,Volvo AB B,3.41
F0GBR06MIK,Stellantis NV,5.53,Veolia Environnement SA,5.28,Just Eat Takeaway.com NV,5.16,Carrefour,4.59,Compagnie de Saint-Gobain SA,4.51,Glencore PLC,4.36,ALD SA,3.96,B&M European Value Retail SA,3.96,Atacadao SA,3.78,Volvo AB B,3.41
F00000Q3YK,Akwel,6.7,Energean PLC,5.86,BFF Bank SpA,4.83,B&M European Value Retail SA,4.39,Banca Ifis,4.21,ALD SA,4.04,Peugeot Invest,3.92,Global Fashion Group SA Ordinary Shares,3.84,Future PLC,3.83,Sixt SE,3.56
F00000QHCO,Akwel,6.7,Energean PLC,5.86,BFF Bank SpA,4.83,B&M European Value Retail SA,4.39,Banca Ifis,4.21,ALD SA,4.04,Peugeot Invest,3.92,Global Fashion Group SA Ordinary Shares,3.84,Future PLC,3.83,Sixt SE,3.56
F000000RDD,Akwel,6.7,Energean PLC,5.86,BFF Bank SpA,4.83,B&M European Value Retail SA,4.39,Banca Ifis,4.21,ALD SA,4.04,Peugeot Invest,3.92,Global Fashion Group SA Ordinary Shares,3.84,Future PLC,3.83,Sixt SE,3.56
F00000M89N,Veolia Environnement SA,3.94,Just Eat Takeaway.com NV,3.77,Atacadao SA,2.98,Energean PLC,2.93,Stellantis NV,2.86,ALD SA,2.79,NN Group NV,2.7,B&M European Value Retail SA,2.69,Glencore PLC,2.58,Volvo AB B,2.58
F0GBR04S4D,ASML Holding NV,6.66,DSV Panalpina AS,5.24,LVMH Moet Hennessy Louis Vuitton SE,3.9,Ambu A/S Class B,3.84,Novo Nordisk A/S B,3.63,Infineon Technologies AG,3.57,Sika AG,3.48,Kingspan Group PLC,3.17,L'Oreal SA,3.15,Partners Group Holding AG,3.1
F00000O4Y5,ASML Holding NV,6.66,DSV Panalpina AS,5.24,LVMH Moet Hennessy Louis Vuitton SE,3.9,Ambu A/S Class B,3.84,Novo Nordisk A/S B,3.63,Infineon Technologies AG,3.57,Sika AG,3.48,Kingspan Group PLC,3.17,L'Oreal SA,3.15,Partners Group Holding AG,3.1
F00000WVAJ,ASML Holding NV,6.66,DSV Panalpina AS,5.24,LVMH Moet Hennessy Louis Vuitton SE,3.9,Ambu A/S Class B,3.84,Novo Nordisk A/S B,3.63,Infineon Technologies AG,3.57,Sika AG,3.48,Kingspan Group PLC,3.17,L'Oreal SA,3.15,Partners Group Holding AG,3.1
F000002SDO,Allianz SE,3.86,Total SE,3.77,Novartis AG,3.6,Munchener Ruckversicherungs-Gesellschaft AG,3.48,Sanofi SA,3.1,Fortum Oyj,3.09,Industria De Diseno Textil SA,3.05,UPM-Kymmene Oyj,2.9,,,,
F00000PLW7,Allianz SE,3.86,Total SE,3.77,Novartis AG,3.6,Munchener Ruckversicherungs-Gesellschaft AG,3.48,Sanofi SA,3.1,Fortum Oyj,3.09,Industria De Diseno Textil SA,3.05,UPM-Kymmene Oyj,2.9,,,,
F000000F6R,ASML Holding NV,5.31,LVMH Moet Hennessy Louis Vuitton SE,4.1,Siemens AG,2.65,Allianz SE,2.35,SAP SE,2.05,Iberdrola SA,1.89,BNP Paribas,1.74,Basf SE,1.73,,,,
F000000JV4,ASML Holding NV,5.31,LVMH Moet Hennessy Louis Vuitton SE,4.1,Siemens AG,2.65,Allianz SE,2.35,SAP SE,2.05,Iberdrola SA,1.89,BNP Paribas,1.74,Basf SE,1.73,,,,
F000010B5W,ASML Holding NV,5.31,LVMH Moet Hennessy Louis Vuitton SE,4.1,Siemens AG,2.65,Allianz SE,2.35,SAP SE,2.05,Iberdrola SA,1.89,BNP Paribas,1.74,Basf SE,1.73,,,,
F0000139KC,BNP Paribas,2.86,ASML Holding NV,2.73,AstraZeneca PLC,2.53,Siemens AG,2.51,ING Groep NV,2.29,Diageo PLC,2.29,Sanofi SA,2.21,Reckitt Benckiser Group PLC,2.12,Iberdrola SA,2.04,Intesa Sanpaolo,2
F0000139KE,BNP Paribas,2.86,ASML Holding NV,2.73,AstraZeneca PLC,2.53,Siemens AG,2.51,ING Groep NV,2.29,Diageo PLC,2.29,Sanofi SA,2.21,Reckitt Benckiser Group PLC,2.12,Iberdrola SA,2.04,Intesa Sanpaolo,2
F0000139KD,BNP Paribas,2.86,ASML Holding NV,2.73,AstraZeneca PLC,2.53,Siemens AG,2.51,ING Groep NV,2.29,Diageo PLC,2.29,Sanofi SA,2.21,Reckitt Benckiser Group PLC,2.12,Iberdrola SA,2.04,Intesa Sanpaolo,2
F0000139KF,BNP Paribas,2.86,ASML Holding NV,2.73,AstraZeneca PLC,2.53,Siemens AG,2.51,ING Groep NV,2.29,Diageo PLC,2.29,Sanofi SA,2.21,Reckitt Benckiser Group PLC,2.12,Iberdrola SA,2.04,Intesa Sanpaolo,2
F0000000K1,ASML Holding NV,9.72,LVMH Moet Hennessy Louis Vuitton SE,6.93,Worldline SA,4.08,Kingspan Group PLC,3.78,L'Oreal SA,3.5,adidas AG,3.25,Zalando SE,3.23,SAP SE,3.23,Infineon Technologies AG,3.22,Ryanair Holdings PLC,2.79
F000000JV5,ASML Holding NV,9.72,LVMH Moet Hennessy Louis Vuitton SE,6.93,Worldline SA,4.08,Kingspan Group PLC,3.78,L'Oreal SA,3.5,adidas AG,3.25,Zalando SE,3.23,SAP SE,3.23,Infineon Technologies AG,3.22,Ryanair Holdings PLC,2.79
F0000000K2,ASML Holding NV,9.72,LVMH Moet Hennessy Louis Vuitton SE,6.93,Worldline SA,4.08,Kingspan Group PLC,3.78,L'Oreal SA,3.5,adidas AG,3.25,Zalando SE,3.23,SAP SE,3.23,Infineon Technologies AG,3.22,Ryanair Holdings PLC,2.79
F00000W7F4,ASML Holding NV,9.72,LVMH Moet Hennessy Louis Vuitton SE,6.93,Worldline SA,4.08,Kingspan Group PLC,3.78,L'Oreal SA,3.5,adidas AG,3.25,Zalando SE,3.23,SAP SE,3.23,Infineon Technologies AG,3.22,Ryanair Holdings PLC,2.79
F00000VW7T,ASML Holding NV,9.72,LVMH Moet Hennessy Louis Vuitton SE,6.93,Worldline SA,4.08,Kingspan Group PLC,3.78,L'Oreal SA,3.5,adidas AG,3.25,Zalando SE,3.23,SAP SE,3.23,Infineon Technologies AG,3.22,Ryanair Holdings PLC,2.79
