SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F0GBR04AX4,12.38,5.84,73.04,81.51,19.47,87.32,74.48,11.43,93.09,41.71,17.33,88.71,35.29,10.19,43.52,48.44,17.42,91.37,25.53,23.88,44.57
F00000PAUJ,12.38,5.84,73.04,81.51,19.47,87.32,74.48,11.43,93.09,41.71,17.33,88.71,35.29,10.19,43.52,48.44,17.42,91.37,25.53,23.88,44.57
F0GBR04C7Q,81.02,78.42,94.75,87.04,21.24,92.27,19.34,10.45,99.48,62.2,36.96,78.74,4.2,1,18.61,86.24,46.31,98.86,2.82,1,3.72
F0GBR04RLZ,25.71,11.58,41.74,84.48,58.41,84.48,42.36,7.39,97.13,8.96,6.99,30.42,18.41,5.07,61.69,47.2,19.58,89.57,15.21,14.86,27.43
F0GBR04SDJ,25.71,11.58,41.74,84.48,58.41,84.48,42.36,7.39,97.13,8.96,6.99,30.42,18.41,5.07,61.69,47.2,19.58,89.57,15.21,14.86,27.43
F0GBR06N02,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F00000Y4IY,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F00000XURC,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F0000040PB,72.82,65.72,82.55,20.04,6.39,26.11,80.23,20.19,84.03,88.26,68.96,89.23,36.67,18.37,90.07,40.72,25.8,91.98,68.55,62.93,87.06
F00000S7PM,72.82,65.72,82.55,20.04,6.39,26.11,80.23,20.19,84.03,88.26,68.96,89.23,36.67,18.37,90.07,40.72,25.8,91.98,68.55,62.93,87.06
F00000XMNZ,72.82,65.72,82.55,20.04,6.39,26.11,80.23,20.19,84.03,88.26,68.96,89.23,36.67,18.37,90.07,40.72,25.8,91.98,68.55,62.93,87.06
F00000WRZN,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F0GBR04RW7,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F00000OPTX,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F0GBR04RW5,21.19,10.35,30.88,82.54,63.74,88.06,47.18,6.36,97.78,13.86,8.62,22.2,17.27,2.54,26.84,39.73,16.06,86.04,13.23,11.64,15.77
F0GBR04RVX,61.62,57.96,88.1,33.93,18.69,49.27,72.27,18.96,95.98,67.3,31.68,86.2,22.45,5.85,57.07,40.87,21.14,84.43,41.01,35.59,52.91
F00000OPTM,61.62,57.96,88.1,33.93,18.69,49.27,72.27,18.96,95.98,67.3,31.68,86.2,22.45,5.85,57.07,40.87,21.14,84.43,41.01,35.59,52.91
F0GBR04RV1,61.62,57.96,88.1,33.93,18.69,49.27,72.27,18.96,95.98,67.3,31.68,86.2,22.45,5.85,57.07,40.87,21.14,84.43,41.01,35.59,52.91
F0GBR04RYY,67.65,37.39,92.12,51.7,13.52,69.33,38.08,32.93,100,82.85,22.9,86.7,16.49,2.71,31.4,29.8,15.91,74.82,32.8,20.93,36.14
F00000OPTN,67.65,37.39,92.12,51.7,13.52,69.33,38.08,32.93,100,82.85,22.9,86.7,16.49,2.71,31.4,29.8,15.91,74.82,32.8,20.93,36.14
F0GBR04RYX,67.65,37.39,92.12,51.7,13.52,69.33,38.08,32.93,100,82.85,22.9,86.7,16.49,2.71,31.4,29.8,15.91,74.82,32.8,20.93,36.14
F0GBR04RW2,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F00000Q8RZ,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F00000OPTU,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F0GBR04RVY,77.45,74.39,94.31,14.86,6.69,31.79,69.27,19.44,94.63,75.49,40.04,87.45,23,6.87,80.17,34.13,19.93,82.88,36.61,30.97,54.22
F00000YV7N,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F00000YV7P,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F00000YV7Q,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F00000YV7M,36.17,12.65,36.17,87.14,61.59,87.89,76.41,5.34,88.62,16.7,8.23,23.6,9.23,2.22,14.28,35.98,14.1,74.9,11.22,8.04,12.52
F0GBR04EAM,60.56,31.69,77.4,18.01,11.71,39.2,80.46,18.49,93.94,60.81,33.36,91.24,67.3,18.84,75.94,58.2,39.01,91.36,32.85,32.85,58.28
F0GBR06IAU,60.56,31.69,77.4,18.01,11.71,39.2,80.46,18.49,93.94,60.81,33.36,91.24,67.3,18.84,75.94,58.2,39.01,91.36,32.85,32.85,58.28
F000000FRV,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F00000OPVC,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F000000FRT,80.58,48.59,92.64,25.35,6.73,57.52,32.54,10.27,97.96,29.65,25.31,77.64,18.31,3.6,74.67,49.17,20.68,92.69,13.15,13.15,21.08
F0GBR04RUO,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F00000P8DU,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F00000Y4IZ,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F000000213,4.6,1,55.98,94.71,70.05,97.13,21.22,2.47,93.83,3.87,2.26,18.28,13.84,3.2,28.61,46.13,21.64,95.82,10.24,8.77,12.74
F0GBR0549B,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F00000OPUU,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F0GBR04O7W,3.74,1,15.64,95.29,94.39,99.12,45.06,2.14,82.8,5.11,2.76,13.37,13.83,1,25.46,53.12,24.75,97.18,9.98,5.34,10.1
F0GBR06XPG,24.8,9.01,74.74,79.43,21.29,82.55,49.98,8.63,92.9,28.17,13.33,77.67,28,7.91,37.62,51.05,17.5,89,19.32,19.04,38.51
F00000P8DS,24.8,9.01,74.74,79.43,21.29,82.55,49.98,8.63,92.9,28.17,13.33,77.67,28,7.91,37.62,51.05,17.5,89,19.32,19.04,38.51
F0GBR04RVV,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000WRZP,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000Q8RS,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F00000OPTZ,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
F0GBR04RV5,3.54,1,5.98,95.2,92.73,97.86,24.48,2.01,90.44,5.59,2.2,7.32,9.45,2.54,30.82,64.91,42.06,96.79,6.53,4.73,9.71
