SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent
F0GBR04AX4,37,3,39,-10.96,78.74,51.23,77.68
F00000PAUJ,37,3,39,-10.96,78.74,51.23,77.68
F0GBR04C7Q,81,1,26,68.65,,60.96,77.29
F0GBR04RLZ,66,32,31,65.90,85.20,55.75,86.36
F0GBR04SDJ,66,32,31,65.90,85.20,55.75,86.36
F0GBR06N02,37,6,40,18.68,78.77,51.27,77.93
F00000Y4IY,37,6,40,18.68,78.77,51.27,77.93
F00000XURC,37,6,40,18.68,78.77,51.27,77.93
F0000040PB,99,19,\u2014,7.23,16.42,50.61,70.26
F00000S7PM,99,19,\u2014,7.23,16.42,50.61,70.26
F00000XMNZ,99,19,\u2014,7.23,16.42,50.61,70.26
F00000WRZN,76,1,\u2014,14.63,84.51,61.29,82.16
F0GBR04RW7,76,1,\u2014,14.63,84.51,61.29,82.16
F00000OPTX,76,1,\u2014,14.63,84.51,61.29,82.16
F0GBR04RW5,76,1,\u2014,14.63,84.51,61.29,82.16
F0GBR04RVX,55,1,\u2014,31.36,58.74,52.26,73.5
F00000OPTM,55,1,\u2014,31.36,58.74,52.26,73.5
F0GBR04RV1,55,1,\u2014,31.36,58.74,52.26,73.5
F0GBR04RYY,52,2,\u2014,281.81,60.18,49.07,72.93
F00000OPTN,52,2,\u2014,281.81,60.18,49.07,72.93
F0GBR04RYX,52,2,\u2014,281.81,60.18,49.07,72.93
F0GBR04RW2,61,2,\u2014,24.36,58.11,49.92,71.96
F00000Q8RZ,61,2,\u2014,24.36,58.11,49.92,71.96
F00000OPTU,61,2,\u2014,24.36,58.11,49.92,71.96
F0GBR04RVY,61,2,\u2014,24.36,58.11,49.92,71.96
F00000YV7N,55,1,34,\u2014,91.77,58.23,79.95
F00000YV7P,55,1,34,\u2014,91.77,58.23,79.95
F00000YV7Q,55,1,34,\u2014,91.77,58.23,79.95
F00000YV7M,55,1,34,\u2014,91.77,58.23,79.95
F0GBR04EAM,71,9,36,38.00,67.57,45.56,66.97
F0GBR06IAU,71,9,36,38.00,67.57,45.56,66.97
F000000FRV,60,31,39,177.16,78.47,68.59,88.84
F00000OPVC,60,31,39,177.16,78.47,68.59,88.84
F000000FRT,60,31,39,177.16,78.47,68.59,88.84
F0GBR04RUO,56,4,30,24.82,,52.93,77.93
F00000P8DU,56,4,30,24.82,,52.93,77.93
F00000Y4IZ,56,4,30,24.82,,52.93,77.93
F000000213,56,4,30,24.82,,52.93,77.93
F0GBR0549B,54,3,\u2014,224.87,,52.3,80.07
F00000OPUU,54,3,\u2014,224.87,,52.3,80.07
F0GBR04O7W,54,3,\u2014,224.87,,52.3,80.07
F0GBR06XPG,49,3,29,25.44,84.90,62.7,81
F00000P8DS,49,3,29,25.44,84.90,62.7,81
F0GBR04RVV,65,30,33,20.09,,50.94,80.82
F00000WRZP,65,30,33,20.09,,50.94,80.82
F00000Q8RS,65,30,33,20.09,,50.94,80.82
F00000OPTZ,65,30,33,20.09,,50.94,80.82
F0GBR04RV5,65,30,33,20.09,,50.94,80.82
F00000WRZM,43,27,40,318.23,89.65,62.32,80.88
F0GBR06XQ6,43,27,40,318.23,89.65,62.32,80.88
F00000Q8S3,43,27,40,318.23,89.65,62.32,80.88
F00000OPVE,43,27,40,318.23,89.65,62.32,80.88
F0GBR06MNV,43,27,40,318.23,89.65,62.32,80.88
F0GBR06IAX,401,213,31,-3.37,,46.4,68.19
F0GBR06IAY,401,213,31,-3.37,,46.4,68.19
F0GBR04RM3,70,36,33,113.14,64.33,44.57,65.91
F0GBR053P3,70,36,33,113.14,64.33,44.57,65.91
F000003YGM,48,31,34,38.85,58.58,52.43,73
F0000005ZF,46,31,31,127.49,85.75,46.54,72.37
F0000005Z9,46,31,31,127.49,85.75,46.54,72.37
F0GBR04NOX,48,3,44,101.43,69.35,58.15,81.56
F0GBR04Z15,48,3,44,101.43,69.35,58.15,81.56
F0GBR06HTG,48,3,44,101.43,69.35,58.15,81.56
F00000PI8Z,48,8,34,9.03,73.00,66.52,86.44
F00000P9SW,48,8,34,9.03,73.00,66.52,86.44
F0GBR06U39,82,34,28,118.20,,50.34,78.85
F00000271D,82,34,28,118.20,,50.34,78.85
F00000MBOY,41,50,42,-43.23,75.11,100,100
F00000MJU1,53,1,\u2014,\u2014,90.31,59.58,84.33
F00000MJTZ,53,1,\u2014,\u2014,90.31,59.58,84.33
F000014XX1,45,12,\u2014,59.00,72.40,59.12,75.67
F000003U77,45,12,\u2014,59.00,72.40,59.12,75.67
F0GBR04FG6,45,12,\u2014,59.00,72.40,59.12,75.67
F0GBR06KDH,45,11,\u2014,98.00,72.43,58.98,75.46
F0GBR06KDN,42,6,\u2014,\u2014,78.49,62.23,83.98
F000014XWZ,54,2,\u2014,424.00,75.09,67.6,87.34
F00000O7HQ,54,2,\u2014,424.00,75.09,67.6,87.34
F0GBR04C7X,54,2,\u2014,424.00,75.09,67.6,87.34
F000014XXB,50,4,\u2014,125.00,82.32,78.34,92.21
F00000NKOC,50,4,\u2014,125.00,82.32,78.34,92.21
F0GBR04SCW,50,4,\u2014,125.00,82.32,78.34,92.21
F000014XXD,42,7,35,150.00,78.53,62.39,84.05
F000003U7B,42,7,35,150.00,78.53,62.39,84.05
F0GBR04E9A,42,7,35,150.00,78.53,62.39,84.05
F00000UMAF,22,13,62,\u2014,,100,100
F00000UMAI,22,13,62,\u2014,,100,100
F00000Y8YN,22,13,62,\u2014,,100,100
F00000UMAO,22,13,62,\u2014,,100,100
F0GBR06HVF,53,6,34,37.35,,56.89,81.73
F00000P8DV,53,6,34,37.35,,56.89,81.73
F00000Y4J0,53,6,34,37.35,,56.89,81.73
F0GBR04RV2,53,6,34,37.35,,56.89,81.73
F00000J5DM,390,216,\u2014,\u2014,,46.12,68.16
F00000NRQ7,390,216,\u2014,\u2014,,46.12,68.16
F00000OOVI,390,216,\u2014,\u2014,,46.12,68.16
F00000J5DN,390,216,\u2014,\u2014,,46.12,68.16
F00000P6YC,390,216,\u2014,\u2014,,46.12,68.16
F00000XMNY,390,216,\u2014,\u2014,,46.12,68.16
F00000X3SE,259,178,31,\u2014,26.75,46.34,67.67
F0GBR04EAP,37,6,40,18.68,78.77,51.27,77.93
F000002XX1,48,8,34,9.03,73.00,66.52,86.44
F0GBR050DD,45,2,45,19.61,61.15,61.02,79.09
F0GBR04S31,52,2,30,28.94,95.58,62.45,78.57
F0GBR050CG,52,2,30,28.94,95.58,62.45,78.57
F0GBR04FKN,47,2,45,-7.38,70.05,57.56,80.8
0P0000VHN0,62,14,36,96.30,72.22,50.96,74.33
0P0000VHN1,62,14,36,96.30,72.22,50.96,74.33
F0000020SC,62,14,36,96.30,72.22,50.96,74.33
0P0000VHN2,62,14,36,96.30,72.22,50.96,74.33
0P0000X5CU,62,14,36,96.30,72.22,50.96,74.33
F00000XVRP,62,14,36,96.30,72.22,50.96,74.33
F0GBR04ARJ,45,37,56,30.03,80.17,100,100
0P0000RZ3H,45,37,56,30.03,80.17,100,100
F000000F9X,45,37,56,30.03,80.17,100,100
0P0000VHOE,45,37,56,30.03,80.17,100,100
F0000020MO,45,37,56,30.03,80.17,100,100
0P0000VHOG,45,37,56,30.03,80.17,100,100
F00001071O,43,5,53,\u2014,63.68,45.11,71.51
F00000ONYS,0,11,100,13.97,90.46,40.44,62.29
F0GBR06IQR,0,11,100,13.97,90.46,40.44,62.29
F00000MQUX,141,6,46,150.00,61.58,44.79,70.03
F0GBR06IQT,141,6,46,150.00,61.58,44.79,70.03
F0GBR04ELG,62,7,36,40.72,72.77,50.81,74.05
F00000J007,62,7,36,40.72,72.77,50.81,74.05
F00000T33V,62,7,36,40.72,72.77,50.81,74.05
F000010KU7,62,7,36,40.72,72.77,50.81,74.05
F0GBR04RTV,45,5,40,51.70,65.39,55.14,79.58
F00000MJPT,45,5,40,51.70,65.39,55.14,79.58
F00000VFX1,45,5,40,51.70,65.39,55.14,79.58
F00000WNYU,45,5,40,51.70,65.39,55.14,79.58
F0GBR04RTX,77,4,27,109.08,72.49,55.2,72.6
F00000HHAW,77,4,27,109.08,72.49,55.2,72.6
F00000VFW6,77,4,27,109.08,72.49,55.2,72.6
F0GBR04EM8,388,181,31,-16.28,,46.12,68.23
F0GBR04CJ2,388,181,31,-16.28,,46.12,68.23
F0GBR04DHW,73,5,29,31.75,63.14,54.32,74.86
F0GBR053M8,73,5,29,31.75,63.14,54.32,74.86
F00000Q9TV,73,5,29,31.75,63.14,54.32,74.86
F00000Q9TT,73,5,29,31.75,63.14,54.32,74.86
F00000Q9TU,73,5,29,31.75,63.14,54.32,74.86
F0GBR04SD6,61,32,34,50.13,66.58,53.93,72.48
F00000OT4O,61,32,34,50.13,66.58,53.93,72.48
F0GBR04RSL,33,5,45,79.72,68.45,55.48,79.18
F0GBR04CIN,33,5,45,79.72,68.45,55.48,79.18
