SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F0GBR04AX4,8.08 Bil,15.53,22.14,47.58,11.36,0.00
F00000PAUJ,8.08 Bil,15.53,22.14,47.58,11.36,0.00
F0GBR04C7Q,535.79 Mil,0.00,0.00,4.55,62.40,32.00
F0GBR04RLZ,4.01 Bil,0.00,19.13,57.06,22.18,0.37
F0GBR04SDJ,4.01 Bil,0.00,19.13,57.06,22.18,0.37
F0GBR06N02,8.07 Bil,15.36,22.41,47.68,11.15,0.00
F00000Y4IY,8.07 Bil,15.36,22.41,47.68,11.15,0.00
F00000XURC,8.07 Bil,15.36,22.41,47.68,11.15,0.00
F0000040PB,35.11 Bil,41.33,35.03,16.59,0.02,0.00
F00000S7PM,35.11 Bil,41.33,35.03,16.59,0.02,0.00
F00000XMNZ,35.11 Bil,41.33,35.03,16.59,0.02,0.00
F00000WRZN,2.90 Bil,0.00,14.60,51.62,28.17,5.56
F0GBR04RW7,2.90 Bil,0.00,14.60,51.62,28.17,5.56
F00000OPTX,2.90 Bil,0.00,14.60,51.62,28.17,5.56
F0GBR04RW5,2.90 Bil,0.00,14.60,51.62,28.17,5.56
F0GBR04RVX,14.76 Bil,33.23,21.80,30.34,13.41,0.00
F00000OPTM,14.76 Bil,33.23,21.80,30.34,13.41,0.00
F0GBR04RV1,14.76 Bil,33.23,21.80,30.34,13.41,0.00
F0GBR04RYY,13.45 Bil,30.78,22.30,28.28,16.88,0.00
F00000OPTN,13.45 Bil,30.78,22.30,28.28,16.88,0.00
F0GBR04RYX,13.45 Bil,30.78,22.30,28.28,16.88,0.00
F0GBR04RW2,13.57 Bil,31.53,24.11,26.10,13.52,4.08
F00000Q8RZ,13.57 Bil,31.53,24.11,26.10,13.52,4.08
F00000OPTU,13.57 Bil,31.53,24.11,26.10,13.52,4.08
F0GBR04RVY,13.57 Bil,31.53,24.11,26.10,13.52,4.08
F00000YV7N,2.15 Bil,0.00,4.11,54.87,30.96,6.13
F00000YV7P,2.15 Bil,0.00,4.11,54.87,30.96,6.13
F00000YV7Q,2.15 Bil,0.00,4.11,54.87,30.96,6.13
F00000YV7M,2.15 Bil,0.00,4.11,54.87,30.96,6.13
F0GBR04EAM,12.74 Bil,29.41,19.99,37.29,11.59,0.00
F0GBR06IAU,12.74 Bil,29.41,19.99,37.29,11.59,0.00
F000000FRV,2.93 Bil,11.23,15.48,26.44,34.03,12.04
F00000OPVC,2.93 Bil,11.23,15.48,26.44,34.03,12.04
F000000FRT,2.93 Bil,11.23,15.48,26.44,34.03,12.04
F0GBR04RUO,1.90 Bil,0.00,2.93,50.22,42.11,0.00
F00000P8DU,1.90 Bil,0.00,2.93,50.22,42.11,0.00
F00000Y4IZ,1.90 Bil,0.00,2.93,50.22,42.11,0.00
F000000213,1.90 Bil,0.00,2.93,50.22,42.11,0.00
F0GBR0549B,1.79 Bil,0.00,3.28,49.68,44.04,0.93
F00000OPUU,1.79 Bil,0.00,3.28,49.68,44.04,0.93
F0GBR04O7W,1.79 Bil,0.00,3.28,49.68,44.04,0.93
F0GBR06XPG,5.05 Bil,0.00,23.72,57.50,16.53,0.00
F00000P8DS,5.05 Bil,0.00,23.72,57.50,16.53,0.00
F0GBR04RVV,1.17 Bil,0.00,0.00,35.55,57.43,4.33
F00000WRZP,1.17 Bil,0.00,0.00,35.55,57.43,4.33
F00000Q8RS,,0.00,0.00,35.55,57.43,4.33
F00000OPTZ,1.17 Bil,0.00,0.00,35.55,57.43,4.33
F0GBR04RV5,1.17 Bil,0.00,0.00,35.55,57.43,4.33
F00000WRZM,2.28 Bil,0.00,20.29,23.65,48.52,6.25
F0GBR06XQ6,2.28 Bil,0.00,20.29,23.65,48.52,6.25
F00000Q8S3,2.28 Bil,0.00,20.29,23.65,48.52,6.25
F00000OPVE,2.28 Bil,0.00,20.29,23.65,48.52,6.25
F0GBR06MNV,2.28 Bil,0.00,20.29,23.65,48.52,6.25
F0GBR06IAX,22.11 Bil,36.02,28.52,25.70,5.12,0.67
F0GBR06IAY,22.11 Bil,36.02,28.52,25.70,5.12,0.67
F0GBR04RM3,8.57 Bil,19.37,23.73,34.15,19.54,1.60
F0GBR053P3,8.57 Bil,19.37,23.73,34.15,19.54,1.60
F000003YGM,14.97 Bil,27.16,25.19,36.78,7.29,0.44
F0000005ZF,3.86 Bil,6.70,12.49,53.09,25.14,2.11
F0000005Z9,3.86 Bil,6.70,12.49,53.09,25.14,2.11
F0GBR04NOX,9.50 Bil,20.06,37.79,13.07,20.04,7.20
F0GBR04Z15,9.50 Bil,20.06,37.79,13.07,20.04,7.20
F0GBR06HTG,9.50 Bil,20.06,37.79,13.07,20.04,7.20
F00000PI8Z,7.76 Bil,10.21,22.44,42.12,17.27,1.48
F00000P9SW,7.76 Bil,10.21,22.44,42.12,17.27,1.48
F0GBR06U39,1.07 Bil,0.00,0.00,32.97,55.95,10.77
F00000271D,1.07 Bil,0.00,0.00,32.97,55.95,10.77
F00000MBOY,19.85 Bil,22.40,43.16,29.34,3.85,0.00
F00000MJU1,8.12 Bil,16.83,29.25,91.77,4.82,0.00
F00000MJTZ,8.12 Bil,16.83,29.25,91.77,4.82,0.00
F000014XX1,12.70 Bil,13.32,39.20,32.12,6.88,0.36
F000003U77,12.70 Bil,13.32,39.20,32.12,6.88,0.36
F0GBR04FG6,12.70 Bil,13.32,39.20,32.12,6.88,0.36
F0GBR06KDH,12.80 Bil,13.21,39.13,31.76,6.72,0.35
F0GBR06KDN,6.34 Bil,8.59,27.06,35.55,18.46,0.00
F000014XWZ,12.13 Bil,19.67,39.72,25.35,15.71,0.00
F00000O7HQ,12.13 Bil,19.67,39.72,25.35,15.71,0.00
F0GBR04C7X,12.13 Bil,19.67,39.72,25.35,15.71,0.00
F000014XXB,5.82 Bil,8.38,28.64,34.99,19.82,2.92
F00000NKOC,5.82 Bil,8.38,28.64,34.99,19.82,2.92
F0GBR04SCW,5.82 Bil,8.38,28.64,34.99,19.82,2.92
F000014XXD,6.28 Bil,8.69,27.14,35.97,18.89,0.00
F000003U7B,6.28 Bil,8.69,27.14,35.97,18.89,0.00
F0GBR04E9A,6.28 Bil,8.69,27.14,35.97,18.89,0.00
F00000UMAF,21.44 Bil,25.92,41.27,30.80,0.00,0.00
F00000UMAI,21.44 Bil,25.92,41.27,30.80,0.00,0.00
F00000Y8YN,,,,30.80,0.00,0.00
F00000UMAO,,25.92,41.27,30.80,0.00,0.00
F0GBR06HVF,,0.00,0.00,41.43,54.83,1.77
F00000P8DV,,0.00,0.00,41.43,54.83,1.77
F00000Y4J0,1.30 Bil,0.00,0.00,41.43,54.83,1.77
F0GBR04RV2,1.30 Bil,0.00,0.00,41.43,54.83,1.77
F00000J5DM,,35.25,29.36,23.95,4.87,0.66
F00000NRQ7,,35.25,29.36,23.95,4.87,0.66
F00000OOVI,,35.25,29.36,23.95,4.87,0.66
F00000J5DN,22.01 Bil,35.25,29.36,23.95,4.87,0.66
F00000P6YC,,35.25,29.36,23.95,4.87,0.66
F00000XMNY,,35.25,29.36,23.95,4.87,0.66
F00000X3SE,19.20 Bil,34.39,25.30,26.43,7.96,0.60
F0GBR04EAP,8.07 Bil,15.36,22.41,47.68,11.15,0.00
F000002XX1,7.76 Bil,10.21,22.44,42.12,17.27,1.48
F0GBR050DD,15.75 Bil,28.92,33.19,20.38,11.49,0.92
F0GBR04S31,1.81 Bil,0.00,0.84,53.36,38.83,3.71
F0GBR050CG,1.81 Bil,0.00,0.84,53.36,38.83,3.71
F0GBR04FKN,9.64 Bil,21.29,37.73,15.69,19.02,6.04
0P0000VHN0,17.20 Bil,27.65,23.99,41.05,3.90,0.32
0P0000VHN1,17.20 Bil,27.65,23.99,41.05,3.90,0.32
F0000020SC,17.20 Bil,27.65,23.99,41.05,3.90,0.32
0P0000VHN2,17.20 Bil,27.65,23.99,41.05,3.90,0.32
0P0000X5CU,17.20 Bil,27.65,23.99,41.05,3.90,0.32
F00000XVRP,17.20 Bil,27.65,23.99,41.05,3.90,0.32
F0GBR04ARJ,28.33 Bil,30.61,44.82,20.29,2.47,0.09
0P0000RZ3H,28.33 Bil,30.61,44.82,20.29,2.47,0.09
F000000F9X,28.33 Bil,30.61,44.82,20.29,2.47,0.09
0P0000VHOE,28.33 Bil,30.61,44.82,20.29,2.47,0.09
F0000020MO,28.33 Bil,30.61,44.82,20.29,2.47,0.09
0P0000VHOG,28.33 Bil,30.61,44.82,20.29,2.47,0.09
F00001071O,20.59 Bil,31.56,26.39,22.83,6.05,0.00
F00000ONYS,43.05 Bil,42.50,33.19,19.65,1.99,0.13
F0GBR06IQR,,42.50,33.19,19.65,1.99,0.13
F00000MQUX,16.87 Bil,29.39,28.05,25.74,9.60,1.78
F0GBR06IQT,16.87 Bil,29.39,28.05,25.74,9.60,1.78
F0GBR04ELG,16.55 Bil,27.37,24.66,41.97,3.99,0.70
