SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F0GBR04AX4,23.13,3.1,3.12,23.86,1.42,12.35,-11.47,-6.07,11.04,1.51
F00000PAUJ,23.13,3.1,3.12,23.86,1.42,12.35,-11.47,-6.07,11.04,1.51
F0GBR04C7Q,12.26,1.51,0.68,5.69,1.08,6.33,-13.8,-6.36,14.27,-8.51
F0GBR04RLZ,21.37,2.45,2.04,20.59,1.38,8.8,-6.79,-7.96,5.87,6.65
F0GBR04SDJ,21.37,2.45,2.04,20.59,1.38,8.8,-6.79,-7.96,5.87,6.65
F0GBR06N02,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44
F00000Y4IY,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44
F00000XURC,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44
F0000040PB,13.7,1.72,1.54,9.48,2.75,11.5,-6.86,-8.49,-1.84,-2.35
F00000S7PM,13.7,1.72,1.54,9.48,2.75,11.5,-6.86,-8.49,-1.84,-2.35
F00000XMNZ,13.7,1.72,1.54,9.48,2.75,11.5,-6.86,-8.49,-1.84,-2.35
F00000WRZN,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67
F0GBR04RW7,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67
F00000OPTX,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67
F0GBR04RW5,19.65,2.26,1.77,12.72,1.13,13.7,-14.03,-4.24,10.64,2.67
F0GBR04RVX,14.48,1.77,1.77,8.4,2.27,14.63,-11.95,-7.9,2.59,-3.07
F00000OPTM,14.48,1.77,1.77,8.4,2.27,14.63,-11.95,-7.9,2.59,-3.07
F0GBR04RV1,14.48,1.77,1.77,8.4,2.27,14.63,-11.95,-7.9,2.59,-3.07
F0GBR04RYY,14.75,1.91,1.87,8.31,2.13,12.75,-12.72,-8.44,2.91,-2.53
F00000OPTN,14.75,1.91,1.87,8.31,2.13,12.75,-12.72,-8.44,2.91,-2.53
F0GBR04RYX,14.75,1.91,1.87,8.31,2.13,12.75,-12.72,-8.44,2.91,-2.53
F0GBR04RW2,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25
F00000Q8RZ,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25
F00000OPTU,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25
F0GBR04RVY,12.71,1.53,1.27,7.19,3.14,12.09,-16.67,-6.45,3.62,-2.25
F00000YV7N,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02
F00000YV7P,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02
F00000YV7Q,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02
F00000YV7M,18.69,1.88,1.31,10.63,1.66,11.14,-9.88,-7.94,18.78,4.02
F0GBR04EAM,16.86,2.29,2.32,14.91,2.65,7.82,-4.2,-7.84,-3.87,-1.02
F0GBR06IAU,16.86,2.29,2.32,14.91,2.65,7.82,-4.2,-7.84,-3.87,-1.02
F000000FRV,12.25,1.47,1.02,6.19,2.99,7.98,-17.71,-9.6,4.7,-1.08
F00000OPVC,12.25,1.47,1.02,6.19,2.99,7.98,-17.71,-9.6,4.7,-1.08
F000000FRT,12.25,1.47,1.02,6.19,2.99,7.98,-17.71,-9.6,4.7,-1.08
F0GBR04RUO,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02
F00000P8DU,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02
F00000Y4IZ,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02
F000000213,24.72,4.21,2.35,18.2,0.9,13.13,-1.8,5.13,22.74,11.02
F0GBR0549B,25.55,4.35,2.35,18.19,0.87,14.71,1.4,7.82,25.99,12.07
F00000OPUU,25.55,4.35,2.35,18.19,0.87,14.71,1.4,7.82,25.99,12.07
F0GBR04O7W,25.55,4.35,2.35,18.19,0.87,14.71,1.4,7.82,25.99,12.07
F0GBR06XPG,20.11,2.46,2.14,12.26,1.34,12.14,-14.38,-6.86,12.04,4.33
F00000P8DS,20.11,2.46,2.14,12.26,1.34,12.14,-14.38,-6.86,12.04,4.33
