SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F0GBR04AX4,23.13,3.1,3.12,23.86,1.42,12.35,-11.47,-6.07,11.04,1.51,37,3,39,-10.96,78.74,51.23,77.68,8.08 Bil,15.53,22.14,47.58,11.36,0,12.38,5.84,73.04,81.51,19.47,87.32,74.48,11.43,93.09,41.71,17.33,88.71,35.29,10.19,43.52,48.44,17.42,91.37,25.53,23.88,44.57
F00000PAUJ,23.13,3.1,3.12,23.86,1.42,12.35,-11.47,-6.07,11.04,1.51,37,3,39,-10.96,78.74,51.23,77.68,8.08 Bil,15.53,22.14,47.58,11.36,0,12.38,5.84,73.04,81.51,19.47,87.32,74.48,11.43,93.09,41.71,17.33,88.71,35.29,10.19,43.52,48.44,17.42,91.37,25.53,23.88,44.57
F0GBR04C7Q,12.26,1.51,0.68,5.69,1.08,6.33,-13.8,-6.36,14.27,-8.51,81,1,26,68.65,,60.96,77.29,535.79 Mil,0,0,4.55,62.4,32,81.02,78.42,94.75,87.04,21.24,92.27,19.34,10.45,99.48,62.2,36.96,78.74,4.2,1,18.61,86.24,46.31,98.86,2.82,1,3.72
F0GBR04RLZ,21.37,2.45,2.04,20.59,1.38,8.8,-6.79,-7.96,5.87,6.65,66,32,31,65.9,85.2,55.75,86.36,4.01 Bil,0,19.13,57.06,22.18,0.37,25.71,11.58,41.74,84.48,58.41,84.48,42.36,7.39,97.13,8.96,6.99,30.42,18.41,5.07,61.69,47.2,19.58,89.57,15.21,14.86,27.43
F0GBR04SDJ,21.37,2.45,2.04,20.59,1.38,8.8,-6.79,-7.96,5.87,6.65,66,32,31,65.9,85.2,55.75,86.36,4.01 Bil,0,19.13,57.06,22.18,0.37,25.71,11.58,41.74,84.48,58.41,84.48,42.36,7.39,97.13,8.96,6.99,30.42,18.41,5.07,61.69,47.2,19.58,89.57,15.21,14.86,27.43
F0GBR06N02,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44,37,6,40,18.68,78.77,51.27,77.93,8.07 Bil,15.36,22.41,47.68,11.15,0,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F00000Y4IY,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44,37,6,40,18.68,78.77,51.27,77.93,8.07 Bil,15.36,22.41,47.68,11.15,0,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F00000XURC,23.08,3.06,3.1,23.85,1.42,12.42,-11.6,-6.17,11.44,1.44,37,6,40,18.68,78.77,51.27,77.93,8.07 Bil,15.36,22.41,47.68,11.15,0,13.42,5.65,73.47,80.76,20.5,87.42,47.98,10.44,93.1,35.01,16.34,89.03,31.84,10.12,41.39,46.45,18.06,91.39,23.55,23.55,42.08
F0000040PB,13.7,1.72,1.54,9.48,2.75,11.5,-6.86,-8.49,-1.84,-2.35,99,19,,7.23,16.42,50.61,70.26,35.11 Bil,41.33,35.03,16.59,0.02,0,72.82,65.72,82.55,20.04,6.39,26.11,80.23,20.19,84.03,88.26,68.96,89.23,36.67,18.37,90.07,40.72,25.8,91.98,68.55,62.93,87.06
F00000S7PM,13.7,1.72,1.54,9.48,2.75,11.5,-6.86,-8.49,-1.84,-2.35,99,19,,7.23,16.42,50.61,70.26,35.11 Bil,41.33,35.03,16.59,0.02,0,72.82,65.72,82.55,20.04,6.39,26.11,80.23,20.19,84.03,88.26,68.96,89.23,36.67,18.37,90.07,40.72,25.8,91.98,68.55,62.93,87.06
