SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000JUYT,74.25,44.48,82.05,33.56,24.96,61.7,42.57,5.93,78.31,83.3,32.78,90.03,47.88,23.57,68.8,19.52,17.71,57.3,37,35.82,44.38
F00000JUYU,74.25,44.48,82.05,33.56,24.96,61.7,42.57,5.93,78.31,83.3,32.78,90.03,47.88,23.57,68.8,19.52,17.71,57.3,37,35.82,44.38
F0GBR052U8,70.09,43.38,85.4,47.54,24.95,60.52,39.24,14.35,77.5,84.31,35.46,92.15,36.03,15.55,55.73,15.08,14.18,63.81,34.9,32.53,55.21
0P0000LYIV,70.09,43.38,85.4,47.54,24.95,60.52,39.24,14.35,77.5,84.31,35.46,92.15,36.03,15.55,55.73,15.08,14.18,63.81,34.9,32.53,55.21
0P00001A0M,70.09,43.38,85.4,47.54,24.95,60.52,39.24,14.35,77.5,84.31,35.46,92.15,36.03,15.55,55.73,15.08,14.18,63.81,34.9,32.53,55.21
F00000OV1C,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F0GBR06MIL,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F00000OTNG,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F00000PC3G,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F0000045M1,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
F0GBR06MIK,77.03,9.83,77.03,76.52,30.29,94.27,19.16,4.67,92.44,85.82,20.62,90.93,20.36,3.59,36.95,19.51,5.8,33.14,26.31,24.43,34.51
