SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Top3_sector_percent,Top5_sector_percent
F00000JUYT,50,0,31,52.87,44.17,61.57
F00000JUYU,50,0,31,52.87,44.17,61.57
F0GBR052U8,56,0,27,58.97,44.8,68.78
0P0000LYIV,56,0,27,58.97,44.8,68.78
0P00001A0M,56,0,27,58.97,44.8,68.78
F00000OV1C,51,1,45,140.42,62.23,82.51
F0GBR06MIL,51,1,45,140.42,62.23,82.51
F00000OTNG,51,1,45,140.42,62.23,82.51
F00000PC3G,51,1,45,140.42,62.23,82.51
F0000045M1,51,1,45,140.42,62.23,82.51
F0GBR06MIK,51,1,45,140.42,62.23,82.51
F00000Q3YK,53,1,45,41.37,60.97,82.71
F00000QHCO,53,1,45,41.37,60.97,82.71
F000000RDD,53,1,45,41.37,60.97,82.71
F00000M89N,59,1,30,123.24,58.56,78.69
F0GBR04S4D,51,49,40,120,69.31,87.64
F00000O4Y5,51,49,40,120,69.31,87.64
F00000WVAJ,51,49,40,120,69.31,87.64
F000002SDO,43,54,32,128,52.41,74.11
F00000PLW7,43,54,32,128,52.41,74.11
F000000F6R,137,41,28,35.68,46.77,67.06
F000000JV4,137,41,28,35.68,46.77,67.06
F000010B5W,137,41,28,35.68,46.77,67.06
F0000139KC,65,17,24,\u2014,54.75,73.51
F0000139KE,65,17,24,\u2014,54.75,73.51
F0000139KD,65,17,24,\u2014,54.75,73.51
F0000139KF,65,17,24,\u2014,54.75,73.51
F0000000K1,47,13,44,10.4,67.26,88.24
F000000JV5,47,13,44,10.4,67.26,88.24
F0000000K2,47,13,44,10.4,67.26,88.24
F00000W7F4,47,13,44,10.4,67.26,88.24
F00000VW7T,47,13,44,10.4,67.26,88.24
F00000WEDC,47,13,44,10.4,67.26,88.24
F00000P8AJ,47,13,44,10.4,67.26,88.24
F00000UQKS,74,14,25,\u2014,48.21,68.41
F00000U3S4,74,14,25,\u2014,48.21,68.41
F0000000K4,51,20,43,-52.77,65.16,85.33
F000000JV6,51,20,43,-52.77,65.16,85.33
F0000000K6,51,20,43,-52.77,65.16,85.33
F00000O26J,51,20,43,-52.77,65.16,85.33
