SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F00000JUYT,17.93 Bil,21.5,39.16,38.02,1.07,0
F00000JUYU,17.93 Bil,21.5,39.16,38.02,1.07,0
F0GBR052U8,16.29 Bil,21,35.35,43.4,0,0
0P0000LYIV,16.29 Bil,21,35.35,43.4,0,0
0P00001A0M,16.29 Bil,21,35.35,43.4,0,0
F00000OV1C,9.38 Bil,0.76,55.29,30.61,12.25,0.05
F0GBR06MIL,9.38 Bil,0.76,55.29,30.61,12.25,0.05
F00000OTNG,9.38 Bil,0.76,55.29,30.61,12.25,0.05
F00000PC3G,9.38 Bil,0.76,55.29,30.61,12.25,0.05
F0000045M1,9.38 Bil,0.76,55.29,30.61,12.25,0.05
F0GBR06MIK,9.38 Bil,0.76,55.29,30.61,12.25,0.05
F00000Q3YK,2.37 Bil,0.02,7.57,45.22,41.46,0.82
F00000QHCO,2.37 Bil,0.02,7.57,45.22,41.46,0.82
F000000RDD,2.37 Bil,0.02,7.57,45.22,41.46,0.82
F00000M89N,7.68 Bil,0.62,37.75,24.01,12.89,0.06
F0GBR04S4D,25.69 Bil,29.26,44.73,21.7,1.49,0
F00000O4Y5,25.69 Bil,29.26,44.73,21.7,1.49,0
F00000WVAJ,25.69 Bil,29.26,44.73,21.7,1.49,0
F000002SDO,33.95 Bil,41.96,38.32,8.15,0,0
F00000PLW7,33.95 Bil,41.96,38.32,8.15,0,0
F000000F6R,40.09 Bil,50.18,30.75,13.54,0.54,0.41
F000000JV4,40.09 Bil,50.18,30.75,13.54,0.54,0.41
F000010B5W,40.09 Bil,50.18,30.75,13.54,0.54,0.41
F0000139KC,23.49 Bil,31.04,42.5,24.25,0.8,0.8
F0000139KE,23.49 Bil,31.04,42.5,24.25,0.8,0.8
F0000139KD,23.49 Bil,31.04,42.5,24.25,0.8,0.8
F0000139KF,23.49 Bil,31.04,42.5,24.25,0.8,0.8
F0000000K1,25.00 Bil,34.28,36.73,19.94,8.44,0
F000000JV5,25.00 Bil,34.28,36.73,19.94,8.44,0
F0000000K2,25.00 Bil,34.28,36.73,19.94,8.44,0
F00000W7F4,25.00 Bil,34.28,36.73,19.94,8.44,0
F00000VW7T,25.00 Bil,34.28,36.73,19.94,8.44,0
F00000WEDC,25.00 Bil,34.28,36.73,19.94,8.44,0
F00000P8AJ,25.00 Bil,34.28,36.73,19.94,8.44,0
F00000UQKS,33.72 Bil,40.03,39.26,19.56,0,0.3
F00000U3S4,33.72 Bil,40.03,39.26,19.56,0,0.3
F0000000K4,33.23 Bil,32.33,44.55,20.02,0,0
