SecId,company_1,percent_1,company_2,percent_2,company_3,percent_3,company_4,percent_4,company_5,percent_5,company_6,percent_6,company_7,percent_7,company_8,percent_8,company_9,percent_9,company_10,percent_10
F0GBR04C7Q,Reach PLC,4,Wincanton PLC,2.69,SIG PLC,2.68,Redde Northgate PLC,2.51,Vitec Group (The) PLC,2.41,TI Fluid Systems PLC,2.36,Morgan Advanced Materials PLC,2.36,Just Group PLC,2.34,Vectura Group PLC,2.24,Brewin Dolphin Holdings PLC,2.17
F0GBR04AX4,AstraZeneca PLC,7.47,Diageo PLC,4.98,Prudential PLC,4.58,AVEVA Group PLC,3.91,Close Brothers Group PLC,3.66,Unilever PLC,3.09,RELX PLC,2.99,Marshalls PLC,2.93,,,,
F00000PAUJ,AstraZeneca PLC,7.47,Diageo PLC,4.98,Prudential PLC,4.58,AVEVA Group PLC,3.91,Close Brothers Group PLC,3.66,Unilever PLC,3.09,RELX PLC,2.99,Marshalls PLC,2.93,,,,
F0GBR04RLZ,Diploma PLC,3.72,GB Group PLC,3.7,RELX PLC,3.67,AVEVA Group PLC,3.44,Gamma Communications PLC,3.02,Prudential PLC,2.93,Coca-Cola HBC AG,2.74,Softcat PLC,2.74,Grafton Group PLC Shs,2.56,Ferguson PLC,2.43
F0GBR04SDJ,Diploma PLC,3.72,GB Group PLC,3.7,RELX PLC,3.67,AVEVA Group PLC,3.44,Gamma Communications PLC,3.02,Prudential PLC,2.93,Coca-Cola HBC AG,2.74,Softcat PLC,2.74,Grafton Group PLC Shs,2.56,Ferguson PLC,2.43
F0GBR06N02,AstraZeneca PLC,7.33,Diageo PLC,4.97,Prudential PLC,4.69,AVEVA Group PLC,3.92,Close Brothers Group PLC,3.73,Unilever PLC,3.06,RELX PLC,3.05,Croda International PLC,2.95,Standard Chartered PLC,2.93,,
F00000Y4IY,AstraZeneca PLC,7.33,Diageo PLC,4.97,Prudential PLC,4.69,AVEVA Group PLC,3.92,Close Brothers Group PLC,3.73,Unilever PLC,3.06,RELX PLC,3.05,Croda International PLC,2.95,Standard Chartered PLC,2.93,,
F00000XURC,AstraZeneca PLC,7.33,Diageo PLC,4.97,Prudential PLC,4.69,AVEVA Group PLC,3.92,Close Brothers Group PLC,3.73,Unilever PLC,3.06,RELX PLC,3.05,Croda International PLC,2.95,Standard Chartered PLC,2.93,,
F0000040PB,Unilever PLC,5.22,AstraZeneca PLC,5.02,HSBC Holdings PLC,4.78,Rio Tinto PLC,3.7,Diageo PLC,3.55,Royal Dutch Shell PLC Class A,3.26,GlaxoSmithKline PLC,3.23,BP PLC,3.18,British American Tobacco PLC,3.12,,
F00000S7PM,Unilever PLC,5.22,AstraZeneca PLC,5.02,HSBC Holdings PLC,4.78,Rio Tinto PLC,3.7,Diageo PLC,3.55,Royal Dutch Shell PLC Class A,3.26,GlaxoSmithKline PLC,3.23,BP PLC,3.18,British American Tobacco PLC,3.12,,
F00000XMNZ,Unilever PLC,5.22,AstraZeneca PLC,5.02,HSBC Holdings PLC,4.78,Rio Tinto PLC,3.7,Diageo PLC,3.55,Royal Dutch Shell PLC Class A,3.26,GlaxoSmithKline PLC,3.23,BP PLC,3.18,British American Tobacco PLC,3.12,,
F00000WRZN,Howden Joinery Group PLC,3.72,Bellway PLC,3.26,Kainos Group PLC,3.23,AVEVA Group PLC,3.07,Genuit Group PLC,3.03,Intermediate Capital Group PLC,2.46,Smith (DS) PLC,2.42,Countryside Properties PLC,2.33,Prudential PLC,2.32,Grafton Group PLC Shs,2.22
F0GBR04RW7,Howden Joinery Group PLC,3.72,Bellway PLC,3.26,Kainos Group PLC,3.23,AVEVA Group PLC,3.07,Genuit Group PLC,3.03,Intermediate Capital Group PLC,2.46,Smith (DS) PLC,2.42,Countryside Properties PLC,2.33,Prudential PLC,2.32,Grafton Group PLC Shs,2.22
F00000OPTX,Howden Joinery Group PLC,3.72,Bellway PLC,3.26,Kainos Group PLC,3.23,AVEVA Group PLC,3.07,Genuit Group PLC,3.03,Intermediate Capital Group PLC,2.46,Smith (DS) PLC,2.42,Countryside Properties PLC,2.33,Prudential PLC,2.32,Grafton Group PLC Shs,2.22
