SecId,Name,PriceCurrency,TenforeId,LegalName,ClosePrice,StarRatingM255,SustainabilityRank,QuantitativeRating,CategoryName,Yield_M12,GBRReturnD1,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,GBRReturnM120,MaxFrontEndLoad,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,MaximumExitCostAcquired,FeeLevel,ManagerTenure,MaxDeferredLoad,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,InvestorTypeRetail,InvestorTypeProfessional,InvestorTypeEligibleCounterparty,ExpertiseBasic,ExpertiseAdvanced,ExpertiseInformed,ReturnProfilePreservation,ReturnProfileGrowth,ReturnProfileIncome,ReturnProfileHedging,ReturnProfileOther,TrackRecordExtension
F0GBR04AX4,AS SICAV I UK Eq A Acc GBP,GBP,52.8.LU0011963757,Aberdeen Standard SICAV I - UK Equity Fund A Acc GBP,30.576,3,4,2,UK Flex-Cap Equity,0,0.41,-0.38,0.81,7.59,9.08,6.08,15.42,6.09,8.69,6.54,5,1.7,0,0.21,0,high,0.75,0,37105299,6,7939.85565,2,4.32,0.96,78.98,17.46,0.4,1,1,1,1,1,1,2,1,3,3,2,FALSE
F00000PAUJ,AS SICAV I UK Eq X Acc GBP,GBP,52.8.LU0837984672,Aberdeen Standard SICAV I - UK Equity Fund X Acc GBP,18.4294,4,4,2,UK Flex-Cap Equity,0,0.41,-0.36,0.87,7.8,9.49,6.42,16.28,6.89,9.51,,0,0.95,0,0.21,0,belowAvg,0.75,0,37105299,6,7939.85565,2,5.08,0.96,78.98,17.47,0.44,1,1,1,1,1,1,2,1,3,3,2,FALSE
F0GBR04C7Q,Aberforth UK Small Companies Acc,GBX,52.8.GB0000072727,Aberforth UK Small Companies Acc,31969,1,2,2,UK Small-Cap Equity,0.74909,0,0.35,3.21,15.5,35.1,33.25,58.8,5.11,9.84,10.4,0,0.83,0,0.43,,low,30.25,,233049581,7,535.79158,5,-4.18,1.2,96.16,29.17,0.31,1,1,1,1,1,1,2,1,2,3,2,FALSE
F0GBR04RLZ,Aegon Ethical Equity GBP A Acc,GBX,52.8.GB0007452484,Aegon Ethical Equity Fund GBP A Acc,236.254,3,5,,UK Flex-Cap Equity,0.59882,0.04,0.18,1.39,10.51,15.26,10.26,21.74,4.71,6.16,7.86,2.5,1.53,0,0.01,,aboveAvg,22.42,,589077276,6,4012.90468,3,3.21,1.04,79.78,18.77,0.32,1,1,1,1,1,1,2,1,3,3,2,FALSE
F0GBR04SDJ,Aegon Ethical Equity GBP B Acc,GBX,52.8.GB0007450884,Aegon Ethical Equity Fund GBP B Acc,277.781,3,5,,UK Flex-Cap Equity,1.20493,0.04,0.2,1.46,10.72,15.69,10.62,22.66,5.49,6.96,8.68,0,0.77,0,0.01,,,22.42,,589077276,6,4012.90468,3,3.96,1.04,79.79,18.77,0.36,1,1,1,1,1,1,2,1,3,3,2,FALSE
F0GBR04RM3,Aegon UK Equity GBP A Acc,GBX,52.8.GB0007450223,Aegon UK Equity Fund GBP A Acc,312.367,3,1,5,UK Large-Cap Equity,1.12905,-0.05,0.12,0.76,10.3,12.64,11.81,20.98,2.65,5.85,6.03,2.5,1.58,0,0.09,,high,17.17,,185056315,5,8574.09694,3,0.83,1.02,90.44,17.32,0.21,1,1,1,1,1,1,2,1,3,3,2,TRUE
F0GBR053P3,Aegon UK Equity GBP B Acc,GBX,52.8.GB0007451411,Aegon UK Equity Fund GBP B Acc,363.685,4,1,5,UK Large-Cap Equity,1.86661,-0.05,0.14,0.84,10.55,13.14,12.25,22.08,3.58,6.8,6.91,0,0.65,0,0.09,,,17.17,,185056315,5,8574.09694,3,1.73,1.02,90.43,17.33,0.26,1,1,1,1,1,1,2,1,3,3,2,FALSE
F000003YGM,Aegon UK Equity Income GBP B Acc,GBX,52.8.GB00B4ZMVX86,Aegon UK Equity Income Fund GBP B Acc,286.861,3,3,4,UK Equity Income,2.04548,-0.13,0.36,1.08,9.3,14.76,14.04,17.55,2.27,5.57,7.21,0,0.68,0,0.05,,,12,,50422051,1,14967.98894,3,-0.11,1.11,94.61,18.44,0.16,1,1,1,1,1,1,2,1,1,3,2,FALSE
F0000005ZF,Aegon UK Opportunities GBP A Acc,GBX,52.8.GB00B1N9DR84,Aegon UK Opportunities Fund GBP A Acc,243.113,3,2,3,UK Flex-Cap Equity,0.28917,0.12,0.11,0.72,9.21,13.05,9.21,22.65,5.97,8.05,7.33,2.5,1.54,0,0.23,,aboveAvg,14.25,,145494618,6,3861.84031,3,4.6,1.02,75.98,18.91,0.39,1,1,1,1,1,1,2,1,3,3,2,FALSE
F0000005Z9,Aegon UK Opportunities GBP B Acc,GBX,52.8.GB00B1N9DS91,Aegon UK Opportunities Fund GBP B Acc,266.559,3,2,4,UK Flex-Cap Equity,0.88043,0.13,0.12,0.79,9.42,13.47,9.56,23.57,6.77,8.86,8.1,0,0.78,0,0.23,,,14.25,,145494618,6,3861.84031,3,5.36,1.02,75.99,18.93,0.43,1,1,1,1,1,1,2,1,3,3,2,FALSE
F0GBR06U39,Aegon UK Smaller Companies GBP A Acc,GBX,52.8.GB00B142FH03,Aegon UK Smaller Companies Fund GBP A Acc,472.629,2,2,1,UK Small-Cap Equity,0.06696,-0.17,0.05,2.72,14.53,21.03,14.7,35.4,7.62,11.4,10.48,2.5,1.54,0,0,,aboveAvg,15,,284846983,9,1073.11033,3,0.71,0.8,78.22,21.52,0.44,1,1,1,1,1,1,2,1,3,3,2,FALSE
