,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F0GBR04N5Q,20.68,2.78,2.36,14.48,1.22,15.89,-6.34,2.29,16,2.7,29,1,61,59.93,,71.53,88.57,134.15 Bil,15.23,49.18,29.9,4.09,0.68,13.42,5.64,31.99,73.88,46.03,89.36,33.81,2.07,91.55,12.56,6.84,23.65,33.56,6.87,84.9,69.93,22.53,91.16,36.8,26.16,40.76
F000015HGL,15.27,2.22,1.52,9.93,3.7,6.23,2.55,2.81,6.94,2.97,27,1,51,,,58.77,86.4,61.40 Bil,77.03,21.42,1.24,0,0,75.44,73.78,79.45,10.96,10.96,14.06,46.92,36.11,50.29,41.45,41.45,48.45,94.05,90.4,94.05,52.26,38.31,62.45,91.7,89.8,91.7
F0000118J4,17.3,2.14,1.82,10.91,2.3,10.78,-5.57,-5.64,9.91,0.89,47,8,31,,,46.18,69.04,28.62 Bil,36.86,34.42,22.91,1.81,0,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0000118JH,17.3,2.14,1.82,10.91,2.3,10.78,-5.57,-5.64,9.91,0.89,47,8,31,,,46.18,69.04,28.62 Bil,36.86,34.42,22.91,1.81,0,44.93,32.53,65.15,35.71,20.07,50.35,41.93,24.36,66.99,32.98,31.51,88.25,68.88,43.89,89.25,64.18,42.73,88.05,50.25,45.31,67.82
F0GBR04BRT,16.49,1.85,1.53,10.62,2.45,10.49,-5.56,-4.05,-1.45,1.6,79,7,30,99.94,,42.86,64.33,57.95 Bil,62.95,29.55,7.32,0,0,61.15,48.68,98.82,28.98,2.91,41.25,66.81,15.35,86.28,73.68,64.34,95.22,84.61,41.08,98.31,44.27,18.6,65.84,87.45,85.38,91.95
F0GBR04N2F,16.49,1.85,1.53,10.62,2.45,10.49,-5.56,-4.05,-1.45,1.6,79,7,30,99.94,,42.86,64.33,57.95 Bil,62.95,29.55,7.32,0,0,61.15,48.68,98.82,28.98,2.91,41.25,66.81,15.35,86.28,73.68,64.34,95.22,84.61,41.08,98.31,44.27,18.6,65.84,87.45,85.38,91.95
F00000JZ78,14.9,1.87,1.03,12.63,3.32,10.53,1.97,-4.3,-0.5,3.43,48,11,,-9.83,,56.26,75.07,33.18 Bil,36.18,44.99,11.97,1.18,0,63.71,53.36,81.1,8.28,8.28,30.37,80.8,19.72,85.2,44.03,33.96,77.26,88.11,61.14,93.93,67.07,43.08,82.59,61.76,60.8,79.72
F00000JZ77,14.9,1.87,1.03,12.63,3.32,10.53,1.97,-4.3,-0.5,3.43,48,11,,-9.83,,56.26,75.07,33.18 Bil,36.18,44.99,11.97,1.18,0,63.71,53.36,81.1,8.28,8.28,30.37,80.8,19.72,85.2,44.03,33.96,77.26,88.11,61.14,93.93,67.07,43.08,82.59,61.76,60.8,79.72
F00000MQF9,15.91,2.03,1.18,8.66,2.46,9.35,-5.57,-5.28,-8,-3.82,49,5,30,9.73,,53.35,77.58,13.49 Bil,13.72,39.14,32.49,11.7,0,64.88,64.88,93.51,56.06,4.88,56.06,75.02,28.82,91.97,88.48,28.7,94.62,25.39,18.55,91.05,30.32,15.35,79.13,32.59,30.24,83.34
F00000MQFB,15.91,2.03,1.18,8.66,2.46,9.35,-5.57,-5.28,-8,-3.82,49,5,30,9.73,,53.35,77.58,13.49 Bil,13.72,39.14,32.49,11.7,0,64.88,64.88,93.51,56.06,4.88,56.06,75.02,28.82,91.97,88.48,28.7,94.62,25.39,18.55,91.05,30.32,15.35,79.13,32.59,30.24,83.34
