SecId,Name,StarRatingM255,SustainabilityRank,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous
F0GBR055SK,JPM Europe Dynamic (ex-UK) A Net Acc,3,2,0.5453899999999999,1.07,6.97,13.1,18.58,14.89,35.11,7.45,11.94,0.0,1.58,1.67,14.25,507693188.0,2,23146.37238,4,-2.33,1.15,95.77,18.1,0.46,3,3,3.0,False,0,0,0,0,1
F0GBR04RTV,BlackRock UK Income A Acc,3,3,2.82616,-0.06,-0.4,7.22,9.02,8.21,13.11,2.54,5.6,5.0,1.63,0.82,11.58,473778989.0,2,21693.07512,2,0.29,0.98,94.31,16.27,0.18,3,1,3.0,False,0,1,0,0,0
F00000J84S,AS SICAV I Eurp Eq Div A Acc EUR,3,2,0.0,1.14,3.26,6.17,13.96,10.85,17.6,6.16,5.95,5.0,1.7,0.02,18.0,28789576.0,2,35077.429860000004,2,1.06,0.87,89.46,14.78,0.39,2,1,3.0,False,0,1,0,0,0
F0GBR04C1G,GAM Multistock Swiss Equity CHF B,4,1,0.0,1.73,8.62,12.64,22.07,16.87,32.72,13.63,14.17,5.0,1.5,0.03,15.08,176391471.0,3,16101.82241,5,-0.73,1.13,79.94,13.58,1.0,2,3,3.0,False,0,0,0,0,1
F00000QS9T,Fidelity MoneyBuilder Dividend A Acc,2,2,2.24917,0.23,0.15,8.49,9.11,8.76,10.29,0.89,2.51,0.0,1.17,0.24,1.33,739569774.0,1,40829.86514,1,-1.36,0.87,94.58,14.49,0.07,3,1,3.0,False,0,1,0,0,0
F0GBR04NWX,Janus Henderson Hrzn Pan Eurp Eq A2 EUR,4,3,0.0,1.98,6.52,6.14,17.29,12.81,30.31,9.93,8.21,5.0,1.89,0.34,4.5,588367610.0,2,19461.35767,3,1.89,1.0,93.75,15.65,0.57,3,3,3.0,False,0,0,1,0,0
F00000QHNQ,Barings European Opps I EUR Acc,3,4,0.0,0.0,4.24,7.18,22.37,15.54,38.52,8.43,9.86,0.0,1.0,0.24,7.67,525602.0,6,3891.33763,4,-0.41,1.02,96.89,18.73,0.48,3,3,3.0,False,0,0,0,1,0
F00000PXHI,BNP Paribas Europe Growth C C,2,4,0.0,0.96,2.67,7.89,13.63,11.13,23.95,6.48,8.14,3.0,1.97,0.07,8.08,432785168.0,3,38368.48958,4,-6.51,1.14,93.58,15.38,0.41,3,3,3.0,True,0,0,1,0,0
F00000NE6O,Janus Henderson Hrzn Pan Eurp Eq A2 USD,3,3,0.0,2.36,6.43,7.82,17.57,11.64,39.18,11.05,9.79,5.0,1.88,0.34,4.5,588367610.0,2,19461.35767,3,1.79,1.0,94.21,15.67,0.56,3,3,3.0,False,0,0,1,0,0
F00000QJXS,Lazard European Equity A Acc EUR,3,4,0.0,0.71,5.45,9.42,16.87,13.83,33.63,8.24,8.93,0.0,1.38,0.32,13.25,15051167.0,2,30375.61832,3,-1.75,1.05,97.21,16.61,0.47,3,3,3.0,False,0,0,0,0,1
F00000286V,Amundi MSCI EMU ESG Ldrs Sel AE-C,4,4,0.0,0.02,0.91,7.03,15.83,14.94,27.01,7.03,9.64,4.5,0.3,-0.03,9.67,1914542369.0,2,37741.55084,3,-0.28,1.02,99.11,18.3,0.39,3,3,3.0,False,0,0,1,0,0
F000000DY3,GS Europe CORE Equity I Acc EUR,4,3,0.0,1.09,5.87,11.13,22.76,19.51,34.77,6.78,9.83,0.0,0.58,0.44,14.42,1475974337.0,2,32165.89553,4,-1.32,1.09,96.62,16.7,0.38,2,3,3.0,False,0,0,1,0,0
F0000003BI,MI Charles Stanley Equity A Acc,4,4,1.56109,-0.15,1.6,9.71,7.52,5.27,11.28,5.98,8.22,0.0,0.2,0.03,6.17,10950346.0,3,13217.69897,1,4.33,0.84,79.95,15.29,0.43,2,3,3.0,False,1,0,0,0,0
F000002O8F,Nordea 1 - European Sm&Mid Cp Eq BI EUR,4,3,0.0,1.09,5.41,8.33,20.29,15.42,35.94,8.19,10.85,0.0,1.05,0.14,9.25,443517326.0,5,5206.21125,3,0.06,1.15,89.54,18.81,0.44,3,3,3.0,False,1,0,0,0,0
F0GBR04S98,M\u0026G UK Select GBP A Acc,4,2,0.90821,-0.58,0.98,7.48,10.23,6.54,18.42,4.57,7.76,0.0,1.2,0.14,2.08,556768207.0,6,7414.87617,3,2.9,0.96,87.97,16.62,0.33,3,3,3.0,False,0,0,1,0,0
F00000MJWQ,Amundi Fds Eurlnd Eq Sm Cap A EUR C,3,4,0.0,0.45,4.42,7.83,18.55,14.45,35.39,4.12,8.18,4.5,1.95,0.2,4.42,473904907.0,5,3561.94059,4,-3.38,1.08,97.63,20.36,0.25,3,3,3.0,True,0,0,0,1,0
F00000VAJV,Premier Miton Mly Inc C acc,2,2,4.17895,0.24,-0.73,8.81,10.67,10.75,10.17,-2.89,2.09,0.0,0.9,0.6,0.58,266097930.0,1,21209.05137,4,-4.4,1.25,82.77,22.29,-0.04,3,1,3.0,True,0,1,0,0,0
F0GBR04B7V,AXAWF Fram Italy A Cap EUR,3,4,0.0,0.71,6.29,7.05,17.62,13.66,38.27,4.63,8.56,5.5,1.79,0.07,14.67,306617246.0,5,7764.26898,3,-2.27,0.92,93.14,21.2,0.27,3,3,3.0,False,0,0,0,0,1
F0GBR04BDY,MS INVF European Property A,1,5,0.0,1.71,6.65,15.12,20.83,18.35,29.84,1.29,1.78,5.75,1.65,0.26,23.75,37761267.0,4,4036.57364,5,-4.73,1.33,89.06,24.26,0.1,3,1,3.0,False,0,0,0,0,1
F000002NWZ,Jupiter European Growth L GBP A Inc,3,5,0.0,3.69,7.37,9.6,7.56,6.91,16.75,8.28,13.29,5.0,1.72,0.04,1.67,1170076994.0,3,20435.09264,4,-2.33,0.98,86.98,13.98,0.6,3,3,3.0,False,0,0,1,0,0
F00000WF47,Generali IS SRI Ageing Population DX EUR,4,4,0.0,1.39,3.19,8.75,15.8,13.52,21.47,6.88,8.35,5.0,1.7,0.11,4.58,479334873.0,2,25577.84742,2,-0.38,0.93,95.19,14.75,0.41,2,2,2.0,False,0,0,1,0,0
F00000UDWL,LO Funds Swiss Equity CHF MA,4,2,0.0,1.83,5.82,9.46,17.11,13.19,24.63,11.75,12.72,5.0,1.2,0.2,5.58,229765761.0,2,28678.53904,3,-1.57,1.03,94.7,11.82,0.99,2,2,2.0,False,0,0,0,0,1
F000000R69,Invesco European Focus UK Acc,1,4,0.82989,1.33,4.91,9.28,16.41,14.92,38.31,6.34,8.43,0.0,1.64,0.88,2.25,28146799.0,1,21652.41247,3,-3.34,0.92,84.15,18.95,0.35,3,3,3.0,False,0,0,0,1,0
F00000SD9V,UBS (Lux) EF Mid Caps Europe (EUR) Q€Acc,4,5,0.0,-0.51,1.68,7.11,19.22,15.2,41.68,12.23,12.9,5.0,1.08,0.01,2.17,201728866.0,2,10129.91639,3,3.24,0.97,98.24,17.86,0.68,3,3,3.0,True,0,0,0,1,0
