SecId,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension
F000005MTH,AB Asia Ex-Japan Eq I Acc,2,1,Asia ex-Japan Equity,0,3.8,2.22,-1.43,1.1,11.83,32.49,8.55,9.62,1.5,1.25,0.72,11.83,272938403,1,17142.13592,5,-1.43,1.02,85.98,16,0.45,3,1,3,FALSE
F000010J2O,AB All China Equity I USD Acc,3,3,China Equity,0,4.61,2.95,-8.69,-12.52,-6.05,2.19,11.55,,1.5,1.19,0.27,3.33,1794436,2,23999.17207,3,4.08,0.92,88.93,17.29,0.56,3,3,3,FALSE
0P0000P32I,AB Asia Ex-Japan Eq I Acc EUR,2,1,Asia ex-Japan Equity,0,2.73,2.2,1.35,2.94,15.04,32.31,7.74,8.26,1.5,1.25,0.72,11.83,273249355,1,17142.13592,5,-1.43,1.02,85.98,16.36,0.44,3,1,3,FALSE
F00000XJCR,AB Asia Ex-Japan Eq I GBP Acc,2,1,Asia ex-Japan Equity,0,2.71,2.58,0.9,1.99,10.5,27.76,6.21,8.74,5,1.23,0.72,11.83,273886132,1,17142.13592,4,-1.58,1.04,85.51,16.36,0.44,3,1,3,FALSE
F0GBR04TKL,AB Emerging Markets Gr I Acc,4,5,Global Emerging Markets Equity,0,3.11,1.43,-4.88,-5.54,0.6,16.06,10.86,9.23,1.5,1.19,0.99,9.5,543709613,2,25122.26601,4,0.52,1.04,90.72,17.71,0.52,3,3,3,FALSE
0P00001A16,AB Emerging Markets Gr I Acc EUR,4,5,Global Emerging Markets Equity,0,2.08,1.4,-2.2,-3.83,3.49,15.87,10.04,7.87,1.5,1.19,0.99,9.5,544329049,2,25122.26601,4,0.52,1.04,90.72,18.01,0.51,3,3,3,FALSE
0P0000LYID,AB Emerging Markets Gr I Acc SGD,4,5,Global Emerging Markets Equity,0,2.35,-0.95,-0.57,9.68,5.12,43.68,7.53,12.01,1.5,1.19,0.99,9.5,544296838,2,25122.26601,4,0.52,1.04,90.72,17.72,0.38,3,3,3,FALSE
F00000T1CI,AB Em Mkts Low Volatil Eq S USD Acc,3,5,Global Emerging Markets Equity,0,2.78,-1.07,-6.26,-5.54,-0.12,12.8,7.79,8.17,0,0.1,0.58,7.5,694416472,2,52351.52198,1,-0.8,0.82,92.66,12.68,0.45,3,3,3,FALSE
F0GBR05XF2,AB India Growth I Acc,2,4,India Equity,0,4.91,5.67,9.83,16.34,24.65,51.9,9.06,7.85,1.5,1.45,1.27,8.58,112465617,3,11825.22014,4,-3.87,1.04,92.62,25.63,0.38,3,3,3,FALSE
0P000019WI,AB India Growth I Acc EUR,2,4,India Equity,0,3.85,5.64,12.91,18.44,28.23,51.66,8.24,6.51,1.5,1.45,1.27,8.58,112593746,3,11825.22014,4,-3.87,1.04,92.62,25.71,0.38,3,3,3,FALSE
