SecId,Name,StarRatingM255,SustainabilityRank,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous,Size,Style
F000005ETU,Barings Europe Select A EUR Acc,3,4,0.0,0.85,5.1,9.42,21.86,16.19,38.51,9.65,5.0,1.55,0.34,16.67,1429874617.0,3978.65175,2,0.16,0.88,96.29,17.05,0.57,3,3,3.0,0,0,0,0,1,0,2,3
F0GBR061MQ,Schroder ISF Sust Swiss Eq C Acc CHF,2,2,0.0,1.93,8.73,10.76,18.2,14.37,27.85,6.8,1.0,1.06,0.08,15.83,32044427.0,29776.97728000001,4,-7.08,1.1,85.04,12.23,0.57,2,3,3.0,0,0,0,0,0,1,1,2
F00000ZS1K,Berenberg European Small Cap B,5,2,0.0,0.15,2.6,11.32,25.96,17.16,51.01,19.5,0.0,0.24,0.23,3.67,673783338.0,1698.74791,3,10.19,0.99,86.05,21.6,0.92,3,3,3.0,0,0,0,0,1,0,3,3
F000000ITQ,Candriam Eqs L Eurp Optm Qual I EUR Cap,3,4,0.0,0.79,1.74,7.45,11.52,9.99,21.32,7.4,0.0,0.75,0.22,7.17,840449142.0,20347.161480000002,1,-3.22,0.92,93.88,12.45,0.55,2,3,3.0,0,0,0,1,0,0,1,3
F00000SX9M,Janus Henderson INTECH EurpCor A2 EUR,5,3,0.0,0.66,4.99,9.64,20.98,17.27,37.58,8.79,5.0,1.75,1.05,7.42,118274373.0,17329.54942,3,1.56,0.95,92.89,15.08,0.54,3,3,3.0,0,0,0,1,0,0,1,2
F000010FG9,Quilter Investors UK Equity U2 (GBP) Acc,4,2,1.7491400000000001,-0.85,-0.34,7.66,12.97,11.57,17.45,2.33,5.0,1.1,0.0,3.08,312559438.0,18178.95833,4,0.81,1.11,95.85,18.31,0.21,2,3,3.0,0,0,0,1,0,0,1,1
F0GBR04APF,BGF European A2,3,5,0.0,2.07,7.31,11.9,20.55,16.13,45.04,15.86,5.2632,1.82,0.4,2.0,1387791844.0,21315.0879,4,1.7,1.12,91.67,15.1,0.93,3,1,3.0,0,0,0,1,0,0,1,3
F00000W6CG,Man GLG RI European Equity Ldrs I C EUR,4,3,0.0,0.52,1.4,6.95,14.08,11.49,27.22,5.79,0.0,0.96,0.64,22.33,251274405.0,34779.37025,3,-0.7,0.96,94.52,14.94,0.4,2,2,2.0,1,0,0,1,0,0,1,2
F00000Z1PB,GAM Continental Euro Equity Inst GBP Acc,3,3,0.28113,0.37,2.57,8.4,10.0,9.33,30.4,9.67,0.0,0.87,0.46,4.08,567103067.0,27020.879160000004,3,1.06,1.01,90.91,16.39,0.62,2,3,3.0,1,0,0,0,0,1,1,3
F00000OKH9,L\u0026G UK Smaller Companies F Acc,1,1,0.47908,0.86,4.24,16.65,26.67,21.09,41.24,5.53,0.0,1.03,0.07,19.92,300990515.0,1034.55778,2,-2.38,0.8,87.5,20.5,0.32,3,3,3.0,0,0,0,0,1,0,3,3
