,Name,PriceCurrency,TenforeId,LegalName,ClosePrice,StarRatingM255,SustainabilityRank,QuantitativeRating,CategoryName,Yield_M12,GBRReturnD1,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,GBRReturnM120,MaxFrontEndLoad,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,MaximumExitCostAcquired,FeeLevel,ManagerTenure,MaxDeferredLoad,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,InvestorTypeRetail,InvestorTypeProfessional,InvestorTypeEligibleCounterparty,ExpertiseBasic,ExpertiseAdvanced,ExpertiseInformed,ReturnProfilePreservation,ReturnProfileGrowth,ReturnProfileIncome,ReturnProfileHedging,ReturnProfileOther,TrackRecordExtension
F0GBR04N5Q,Danske Invest Denmark Focus A,DKK,52.8.LU0012195615,Danske Invest SICAV - Denmark Focus A,2506.11,2,3,,Denmark Equity,0.0,0.27,0.87,4.76,12.58,15.68,10.44,35.83,14.5,10.62,15.15,0.0,1.77,0.0,0.06,,,10.92,,51672253.0,3,15684.045909999999,3,-5.15,1.06,79.77,15.09,0.89,1,1,1,1,1,1,3,1,2,3.0,2.0,False
F000015HGL,CS European Dividend Value FB EUR,EUR,52.8.LU2194267394,Credit Suisse Wealth Funds 1 - Credit Suisse European Dividend Value Fund FB EUR,188.54,5,2,,Europe Equity Income,0.0,-0.08,0.21,-0.41,5.51,14.13,13.14,18.74,9.43,11.35,8.8,,,,,,,0.75,,143657242.0,2,54955.21402000001,3,3.54,0.88,92.04,14.9,0.55,1,1,1,1,1,1,3,1,1,3.0,2.0,True
F0000118J4,Threadneedle (Lux) Pan Eur Eq Dv 1E EUR,EUR,52.8.LU1829334819,Threadneedle (Lux) - Pan European Equity Dividend 1E EUR Acc,2.0841,4,3,,Europe Equity Income,0.0,-0.19,0.26,0.73,5.78,15.56,13.06,27.83,8.13,6.34,8.2,5.0,1.69,0.0,0.28,,,1.5,,66439825.0,2,24636.42657,3,1.97,1.0,92.75,17.04,0.44,1,1,1,1,1,1,3,1,1,3.0,2.0,True
F0000118JH,Threadneedle (Lux) Pan Eur Eq Dv 2E EUR,EUR,52.8.LU1849564031,Threadneedle (Lux) - Pan European Equity Dividend 2E EUR Acc,13.024000000000001,5,3,,Europe Equity Income,0.0,-0.19,0.27,0.79,5.93,15.91,13.36,28.6,8.79,6.98,8.83,0.0,1.08,0.0,0.28,,,1.5,,66439825.0,2,24636.42657,3,2.58,1.0,92.84,17.03,0.48,1,1,1,1,1,1,3,1,1,3.0,2.0,True
F0GBR04BRT,BNP Paribas Europe Dividend C C,EUR,52.8.LU0111491469,BNP Paribas Funds Europe Dividend Classic Capitalisation,101.25,2,4,,Europe Equity Income,0.0,0.15,0.6,1.79,7.13,13.98,13.07,16.46,3.21,4.06,4.29,3.0,1.97,0.0,0.22,,,2.0,,164995045.0,2,50389.39812,2,-2.04,0.89,94.94,14.62,0.19,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F0GBR04N2F,BNP Paribas Europe Dividend I C,EUR,52.8.LU0111493242,BNP Paribas Funds Europe Dividend I Capitalisation,121.65,3,4,,Europe Equity Income,0.0,0.15,0.62,1.88,7.41,14.57,13.56,17.65,4.26,5.12,5.35,0.0,0.96,0.0,0.22,,,2.0,,164995045.0,2,50389.39812,2,-1.03,0.89,94.95,14.63,0.25,1,1,1,1,1,1,3,1,3,3.0,2.0,False
F00000JZ78,Fidelity European Div A-Acc-EUR,EUR,52.8.LU0353647737,Fidelity Funds - European Dividend Fund A-Acc-EUR,19.67,4,3,,Europe Equity Income,0.0,0.72,0.92,2.39,5.7,15.16,12.98,21.2,6.36,6.1,7.1,5.25,1.95,0.0,0.46,,,3.08,,95619830.0,2,28537.68292,2,0.84,0.9,95.05,14.82,0.38,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000JZ77,Fidelity European Div Y-Acc-EUR,EUR,52.8.LU0353648032,Fidelity Funds - European Dividend Fund Y-Acc-EUR,21.41,5,3,,Europe Equity Income,0.0,0.71,0.9,2.49,5.89,15.67,13.4,22.2,7.24,7.01,7.96,0.0,1.1,0.0,0.46,,,3.08,,95619830.0,2,28537.68292,2,1.68,0.9,95.04,14.84,0.44,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000MQF9,Templeton European Div A(acc)EUR,EUR,52.8.LU0645132738,Templeton European Dividend Fund A(acc)EUR,17.09,1,1,,Europe Equity Income,0.0,0.71,0.65,2.83,4.65,14.16,11.99,22.33,0.14,3.04,,5.75,1.85,,0.59,,,3.5,,82196012.0,2,11603.422190000001,4,-5.74,1.13,92.45,19.21,0.04,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000MQFB,Templeton European Div I(acc)EUR,EUR,52.8.LU0645132902,Templeton European Dividend Fund I(acc)EUR,18.68,2,1,,Europe Equity Income,0.0,0.7,0.7,2.98,4.94,14.74,12.46,23.63,1.15,4.02,,0.0,0.85,,0.59,,,3.5,,82196012.0,2,11603.422190000001,4,-4.75,1.13,92.48,19.22,0.09,1,1,1,1,1,1,3,1,1,3.0,2.0,False
F00000ZJLW,Man GLG RI Sust Eurp Inc D C EUR,EUR,52.8.IE00BF4RVX15,Man GLG RI Sustainable European Income D C EUR,114.73,3,3,,Europe Equity Income,0.0,0.16,1.24,0.81,6.58,10.75,10.16,18.63,5.0,,,0.0,1.71,0.0,0.29,,,3.75,,56037020.0,2,29414.6773,4,-1.13,1.07,90.72,18.46,0.27,1,1,1,1,1,1,2,1,1,2.0,2.0,True
F00000ZJLV,Man GLG RI Sust Eurp Inc I C EUR,EUR,52.8.IE00BF4RW382,Man GLG RI Sustainable European Income I C EUR,117.92,4,3,,Europe Equity Income,0.0,0.16,1.25,0.87,6.78,11.16,10.52,19.52,5.79,7.11,,0.0,0.96,0.0,0.29,,,3.75,,56037020.0,2,29414.6773,4,-0.38,1.08,90.74,18.47,0.31,1,1,1,1,1,1,2,1,1,2.0,2.0,True
