,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Top3_sector_percent,Top5_sector_percent,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max,Cat_Flex-Cap,Cat_Income,Cat_Large-Cap,Cat_Mid_Small-Cap,Cat_Miscellaneous
F0GBR04AX4,AS SICAV I UK Eq A Acc GBP,3,4,Flex-Cap,0.0,7.59,9.08,6.08,15.42,6.09,8.69,5.0,1.7,0.21,0.75,37105299.0,6,7939.85565,2,4.32,0.96,78.98,17.46,0.4,2,3,3.0,0,23.13,3.1,3.12,23.86,1.42,12.35,-11.47,-6.07,11.04,1.51,37.0,3,39.0,51.23,77.68,15.53,22.14,47.58,11.36,0.0,12.38,5.84,73.04,81.51,19.47,87.32,74.48,11.43,93.09,41.71,17.33,88.71,35.29,10.19,43.52,48.44,17.42,91.37,25.53,23.88,44.57,1,0,0,0,0
F00000PAUJ,AS SICAV I UK Eq X Acc GBP,4,4,Flex-Cap,0.0,7.8,9.49,6.42,16.28,6.89,9.51,0.0,0.95,0.21,0.75,37105299.0,6,7939.85565,2,5.08,0.96,78.98,17.47,0.44,2,3,3.0,0,23.13,3.1,3.12,23.86,1.42,12.35,-11.47,-6.07,11.04,1.51,37.0,3,39.0,51.23,77.68,15.53,22.14,47.58,11.36,0.0,12.38,5.84,73.04,81.51,19.47,87.32,74.48,11.43,93.09,41.71,17.33,88.71,35.29,10.19,43.52,48.44,17.42,91.37,25.53,23.88,44.57,1,0,0,0,0
F0GBR04C7Q,Aberforth UK Small Companies Acc,1,2,Mid_Small-Cap,0.7490899999999999,15.5,35.1,33.25,58.8,5.11,9.84,0.0,0.83,0.43,30.25,233049581.0,7,535.79158,5,-4.18,1.2,96.16,29.17,0.31,2,2,3.0,0,12.26,1.51,0.68,5.69,1.08,6.33,-13.8,-6.36,14.27,-8.51,81.0,1,26.0,60.96,77.29,0.0,0.0,4.55,62.4,32.0,81.02,78.42,94.75,87.04,21.24,92.27,19.34,10.45,99.48,62.2,36.96,78.74,4.2,1.0,18.61,86.24,46.31,98.86,2.82,1.0,3.72,0,0,0,1,0
F0GBR04RLZ,Aegon Ethical Equity GBP A Acc,3,5,Flex-Cap,0.59882,10.51,15.26,10.26,21.74,4.71,6.16,2.5,1.53,0.01,22.42,589077276.0,6,4012.9046799999996,3,3.21,1.04,79.78,18.77,0.32,2,3,3.0,0,21.37,2.45,2.04,20.59,1.38,8.8,-6.79,-7.96,5.87,6.65,66.0,32,31.0,55.75,86.36,0.0,19.13,57.06,22.18,0.37,25.71,11.58,41.74,84.48,58.41,84.48,42.36,7.39,97.13,8.96,6.99,30.42,18.41,5.07,61.69,47.2,19.58,89.57,15.21,14.86,27.43,1,0,0,0,0
F0GBR04SDJ,Aegon Ethical Equity GBP B Acc,3,5,Flex-Cap,1.2049299999999998,10.72,15.69,10.62,22.66,5.49,6.96,0.0,0.77,0.01,22.42,589077276.0,6,4012.9046799999996,3,3.96,1.04,79.79,18.77,0.36,2,3,3.0,0,21.37,2.45,2.04,20.59,1.38,8.8,-6.79,-7.96,5.87,6.65,66.0,32,31.0,55.75,86.36,0.0,19.13,57.06,22.18,0.37,25.71,11.58,41.74,84.48,58.41,84.48,42.36,7.39,97.13,8.96,6.99,30.42,18.41,5.07,61.69,47.2,19.58,89.57,15.21,14.86,27.43,1,0,0,0,0
F0GBR04RM3,Aegon UK Equity GBP A Acc,3,1,Large-Cap,1.12905,10.3,12.64,11.81,20.98,2.65,5.85,2.5,1.58,0.09,17.17,185056315.0,5,8574.096940000001,3,0.83,1.02,90.44,17.32,0.21,2,3,3.0,1,15.28,2.02,1.3,13.06,1.7,11.51,-9.36,-3.77,-0.44,0.48,70.0,36,33.0,44.57,65.91,19.37,23.73,34.15,19.54,1.6,42.44,28.48,78.59,65.5,36.61,75.29,31.17,6.44,71.01,62.74,31.35,73.89,23.39,8.14,57.93,42.8,31.26,90.04,25.57,25.17,48.96,0,0,1,0,0
F0GBR053P3,Aegon UK Equity GBP B Acc,4,1,Large-Cap,1.8666099999999999,10.55,13.14,12.25,22.08,3.58,6.8,0.0,0.65,0.09,17.17,185056315.0,5,8574.096940000001,3,1.73,1.02,90.43,17.33,0.26,2,3,3.0,0,15.28,2.02,1.3,13.06,1.7,11.51,-9.36,-3.77,-0.44,0.48,70.0,36,33.0,44.57,65.91,19.37,23.73,34.15,19.54,1.6,42.44,28.48,78.59,65.5,36.61,75.29,31.17,6.44,71.01,62.74,31.35,73.89,23.39,8.14,57.93,42.8,31.26,90.04,25.57,25.17,48.96,0,0,1,0,0
F000003YGM,Aegon UK Equity Income GBP B Acc,3,3,Income,2.04548,9.3,14.76,14.04,17.55,2.27,5.57,0.0,0.68,0.05,12.0,50422051.0,1,14967.988940000001,3,-0.11,1.11,94.61,18.44,0.16,2,1,3.0,0,12.59,1.64,1.14,10.65,3.04,9.02,-5.48,-6.39,-9.03,-0.67,48.0,31,34.0,52.43,73.0,27.16,25.19,36.78,7.29,0.44,85.5,69.08,86.79,14.41,7.92,22.63,78.66,18.13,91.13,77.71,48.58,86.35,45.2,21.07,95.62,35.99,20.39,88.98,36.68,33.71,50.8,0,1,0,0,0
F0000005ZF,Aegon UK Opportunities GBP A Acc,3,2,Flex-Cap,0.28917,9.21,13.05,9.21,22.65,5.97,8.05,2.5,1.54,0.23,14.25,145494618.0,6,3861.84031,3,4.6,1.02,75.98,18.91,0.39,2,3,3.0,0,20.54,2.89,2.15,17.65,1.12,10.18,-3.3,-6.19,16.39,-0.04,46.0,31,31.0,46.54,72.37,6.7,12.49,53.09,25.14,2.11,17.17,8.65,69.61,86.85,73.53,94.49,17.26,4.68,89.45,24.88,10.02,81.89,14.22,5.49,44.49,40.89,23.28,90.53,15.66,14.33,42.68,1,0,0,0,0
F0000005Z9,Aegon UK Opportunities GBP B Acc,3,2,Flex-Cap,0.8804299999999999,9.42,13.47,9.56,23.57,6.77,8.86,0.0,0.78,0.23,14.25,145494618.0,6,3861.84031,3,5.36,1.02,75.99,18.93,0.43,2,3,3.0,0,20.54,2.89,2.15,17.65,1.12,10.18,-3.3,-6.19,16.39,-0.04,46.0,31,31.0,46.54,72.37,6.7,12.49,53.09,25.14,2.11,17.17,8.65,69.61,86.85,73.53,94.49,17.26,4.68,89.45,24.88,10.02,81.89,14.22,5.49,44.49,40.89,23.28,90.53,15.66,14.33,42.68,1,0,0,0,0
F0GBR06U39,Aegon UK Smaller Companies GBP A Acc,2,2,Mid_Small-Cap,0.06696,14.53,21.03,14.7,35.4,7.62,11.4,2.5,1.54,0.0,15.0,284846983.0,9,1073.11033,3,0.71,0.8,78.22,21.52,0.44,2,3,3.0,0,26.13,3.24,2.54,21.26,0.72,13.67,6.41,-2.94,0.59,6.64,82.0,34,28.0,50.34,78.85,0.0,0.0,32.97,55.95,10.77,6.0,2.6,16.09,95.48,84.31,96.2,19.91,2.54,95.78,5.51,3.14,14.36,8.19,2.61,21.1,75.0,53.57,96.93,5.38,4.41,8.15,0,0,0,1,0
