SecId,Name,PriceCurrency,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM36,GBRReturnM60,GBRReturnM120,OngoingCostActual,PerformanceFeeActual,TransactionFeeActual,FundTNAV,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,Size,Investment_Type,Curr_CHF,Curr_DKK,Curr_EUR,Curr_GBP,Curr_GBX,Curr_JPY,Curr_NOK,Curr_PLN,Curr_SEK,Curr_SGD,Curr_USD,Cat_Denmark Equity,Cat_Europe Equity Income,Cat_Europe Flex-Cap Equity,Cat_Europe Large-Cap Blend Equity,Cat_Europe Large-Cap Growth Equity,Cat_Europe Large-Cap Value Equity,Cat_Europe Mid-Cap Equity,Cat_Europe Small-Cap Equity,Cat_Europe ex-UK Equity,Cat_Europe ex-UK Small/Mid-Cap Equity,Cat_Eurozone Flex-Cap Equity,Cat_Eurozone Large-Cap Equity,Cat_Eurozone Mid-Cap Equity,Cat_France Small/Mid-Cap Equity,Cat_Germany Equity,Cat_Global Equity Income,Cat_Global Flex-Cap Equity,Cat_Global Large-Cap Blend Equity,Cat_Italy Equity,Cat_Long/Short Equity - Europe,Cat_Nordic Equity,Cat_Nordic Small/Mid-Cap Equity,Cat_Norway Equity,Cat_Property - Indirect Europe,Cat_Sector Equity Consumer Goods \u0026 Services,Cat_Sector Equity Ecology,Cat_Sector Equity Natural Resources,Cat_Sector Equity Technology,Cat_Spain Equity,Cat_Sweden Equity,Cat_Switzerland Equity,Cat_Switzerland Small/Mid-Cap Equity,Cat_UK Equity Income,Cat_UK Flex-Cap Equity,Cat_UK Large-Cap Equity,Cat_UK Mid-Cap Equity,Cat_UK Small-Cap Equity,FundType,Type_A,Type_B,Type_C,Type_I,Type_M,Type_P,Type_R
F0GBR04AX4,AS SICAV I UK Eq A Acc GBP,GBP,3,4,UK Flex-Cap Equity,0.0,-0.38,0.81,7.59,9.08,6.08,6.09,8.69,6.54,1.7,0.0,0.21,37105299.0,7939.85565,2,4.32,0.96,78.98,17.46,0.4,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,1,0,0,0,0,0,0
F0GBR04C7Q,Aberforth UK Small Companies Acc,GBX,1,2,UK Small-Cap Equity,0.7490899999999999,0.35,3.21,15.5,35.1,33.25,5.11,9.84,10.4,0.83,0.0,0.43,233049581.0,535.79158,5,-4.18,1.2,96.16,29.17,0.31,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,0,0,0,0,1,0,0
F0GBR04RLZ,Aegon Ethical Equity GBP A Acc,GBX,3,5,UK Flex-Cap Equity,0.59882,0.18,1.39,10.51,15.26,10.26,4.71,6.16,7.86,1.53,0.0,0.01,589077276.0,4012.9046799999996,3,3.21,1.04,79.78,18.77,0.32,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,1,0,0,0,0,0,0
F0GBR04SDJ,Aegon Ethical Equity GBP B Acc,GBX,3,5,UK Flex-Cap Equity,1.2049299999999998,0.2,1.46,10.72,15.69,10.62,5.49,6.96,8.68,0.77,0.0,0.01,589077276.0,4012.9046799999996,3,3.96,1.04,79.79,18.77,0.36,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,0,1,0,0,0,0,0
F0GBR04RM3,Aegon UK Equity GBP A Acc,GBX,3,1,UK Large-Cap Equity,1.12905,0.12,0.76,10.3,12.64,11.81,2.65,5.85,6.03,1.58,0.0,0.09,185056315.0,8574.096940000001,3,0.83,1.02,90.44,17.32,0.21,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A,1,0,0,0,0,0,0
F0GBR053P3,Aegon UK Equity GBP B Acc,GBX,4,1,UK Large-Cap Equity,1.8666099999999999,0.14,0.84,10.55,13.14,12.25,3.58,6.8,6.91,0.65,0.0,0.09,185056315.0,8574.096940000001,3,1.73,1.02,90.43,17.33,0.26,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B,0,1,0,0,0,0,0
F000003YGM,Aegon UK Equity Income GBP B Acc,GBX,3,3,UK Equity Income,2.04548,0.36,1.08,9.3,14.76,14.04,2.27,5.57,7.21,0.68,0.0,0.05,50422051.0,14967.988940000001,3,-0.11,1.11,94.61,18.44,0.16,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,0,1,0,0,0,0,0
F0000005ZF,Aegon UK Opportunities GBP A Acc,GBX,3,2,UK Flex-Cap Equity,0.28917,0.11,0.72,9.21,13.05,9.21,5.97,8.05,7.33,1.54,0.0,0.23,145494618.0,3861.84031,3,4.6,1.02,75.98,18.91,0.39,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,1,0,0,0,0,0,0
F0000005Z9,Aegon UK Opportunities GBP B Acc,GBX,3,2,UK Flex-Cap Equity,0.8804299999999999,0.12,0.79,9.42,13.47,9.56,6.77,8.86,8.1,0.78,0.0,0.23,145494618.0,3861.84031,3,5.36,1.02,75.99,18.93,0.43,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,0,1,0,0,0,0,0
F0GBR06U39,Aegon UK Smaller Companies GBP A Acc,GBX,2,2,UK Small-Cap Equity,0.06696,0.05,2.72,14.53,21.03,14.7,7.62,11.4,10.48,1.54,0.0,0.0,284846983.0,1073.11033,3,0.71,0.8,78.22,21.52,0.44,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A,1,0,0,0,0,0,0
F00000271D,Aegon UK Smaller Companies GBP B Acc,GBX,2,2,UK Small-Cap Equity,0.6228,0.06,2.79,14.75,21.48,15.07,8.43,12.24,11.29,0.78,0.0,0.0,284846983.0,1073.11033,3,1.46,0.8,78.22,21.53,0.48,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B,0,1,0,0,0,0,0
F00000MBOY,Allianz Global Metals and Mining IT EUR,EUR,3,3,Sector Equity Natural Resources,0.0,-0.96,-3.01,8.63,21.96,21.43,7.96,14.07,-2.18,0.96,0.0,0.14,826391587.0,17260.33074,4,4.55,1.12,84.3,24.6,0.43,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,1,0,0
F00000MJU1,Ardevora UK Equity B GBP Acc,GBP,4,3,UK Flex-Cap Equity,0.0,-0.92,-0.77,6.3,5.71,1.54,1.75,7.89,10.33,0.64,0.0,0.15,60482976.0,7574.92351,1,0.84,0.45,35.53,12.19,0.17,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B,0,1,0,0,0,0,0
F000014XX1,Artemis Income C Acc,GBP,4,4,UK Equity Income,3.37405,0.28,0.04,7.65,12.52,11.7,2.68,6.74,7.56,1.25,0.0,0.19,4852508869.0,12703.32563,2,0.59,1.05,96.22,17.33,0.2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,C,0,0,1,0,0,0,0
